Row Labels,Count of  text
<10/3/16 or (blank),7
bornacrime,3
djaygill301,1
hannahinthelibs,1
livyreads,1
lovely_pages,1
(blank),
10/3/16 - 10/8/16,66
_Books__,2
16_lass,1
16ishoot_sa,1
Andrea_Nattrass,1
Bookamoso,1
bookusbot,1
brandafrica,1
charlescml,2
DonChris_,1
eQuiviaBooks,1
ETKhwaja,1
FreeEbooksaz,1
GlobalAmazon,1
grantteaff,2
hannahinthelibs,1
HighEnd_Books,1
HighEnd_Gear,2
Humorcidal,1
HumorEntertainm,2
Joonji,1
justbooks101,1
laurenbanka,1
LelwaMila,1
Lina_Woy,1
lindo_55114,1
mariaholsopple,1
mcrlyric_bot,1
MeloniFulvio,3
MercorOrg,3
MisstyCotton,1
mkathycakes,1
MzNyc426,1
NerdintheCity,2
NormanAladjem,1
okayafrica,1
PhotographyArt_,5
Pre_Order_Books,3
Preyana_lalla,1
PrincessBear_,1
Radebe_PM,1
SciTheComedist,1
TilynNicole,1
Tingnonoh,1
todays_books,1
TopRT_ZA,1
Trevornoah,1
victordlamini,1
YLPCliffCentral,1
yoMzansi,1
zogita26,1
Grand Total,73
