username, date, retweets, text, id, permalink
zogita26,10/8/16 19:48,0,here's short and sweet review of Born a Crime by @Trevornoah . enjoy! https:// cupofzo.wordpress.com/2016/10/08/rev iew-of-born-a-crime-by-trevor-noah/ äó_,784903203615891000,https://twitter.com/zogita26/status/784903203615891457
PhotographyArt_,10/8/16 14:59,0,#10: Born a Crime : Stories from a South African Childhood: Born a Crime : Stories from a Southäó_ http:// goo.gl/fb/uNfH7Z #Arts #Photography,784830525189992000,https://twitter.com/PhotographyArt_/status/784830525189992448
NormanAladjem,10/8/16 14:41,0,Amazing night at the Kennedy Center. #BornACrime https://www. instagram.com/p/BLT_bryjO_Y/,784826054351458000,https://twitter.com/NormanAladjem/status/784826054351458304
NerdintheCity,10/8/16 14:12,0,"I wish  Born a Crime "" was out already I want to read it so badly!! @Trevornoah""",784818709441413000,https://twitter.com/NerdintheCity/status/784818709441413124
bookusbot,10/8/16 13:08,0,Born a Crime : Stories from a South African Childhood ~ Trevor Noah https:// goo.gl/kgSSa3 Arts & Photography,784802552776843000,https://twitter.com/bookusbot/status/784802552776843264
mcrlyric_bot,10/8/16 3:42,0,"You were always born a crime , We salute you in your grave",784660251018616000,https://twitter.com/mcrlyric_bot/status/784660251018616833
Humorcidal,10/8/16 0:52,0,@Trevornoah you are even lighter in person. It was an honor #bornacrime,784617519969660000,https://twitter.com/Humorcidal/status/784617519969660929
Lina_Woy,10/8/16 0:12,0,"thank you @Trevornoah for sharing yourself with #DC , you're brilliantly hilarious! PS- you rock my world too #BornACrime #meetandgreet pic.twitter.com/bSr0yVvKqN",784607268125966000,https://twitter.com/Lina_Woy/status/784607268125966338
mariaholsopple,10/7/16 22:39,0,Some evenings are cooler than others. @Trevornoah @kencen #bornacrime pic.twitter.com/3by4WPqKeP,784584059636817000,https://twitter.com/mariaholsopple/status/784584059636817920
16_lass,10/7/16 18:09,0,Can't wait to Get Trevor's Book #BORN_A_CRIME out 15 November 2016,784515972216524000,https://twitter.com/16_lass/status/784515972216524800
16ishoot_sa,10/7/16 18:09,0,Can't wait to Get Trevor's Book #BORN_A_CRIME out 15 November 2016,784515970564055000,https://twitter.com/16ishoot_sa/status/784515970564055040
lindo_55114,10/7/16 18:09,0,Can't wait to Get Trevor's Book #BORN_A_CRIME out 15 November 2016,784515957368774000,https://twitter.com/lindo_55114/status/784515957368774656
PhotographyArt_,10/7/16 14:52,0,#6: Born a Crime : Stories from a South African Childhood: Born a Crime : Stories from a Southäó_ http:// goo.gl/fb/RXr0Yf #Arts #Photography,784466526287953000,https://twitter.com/PhotographyArt_/status/784466526287953920
HumorEntertainm,10/7/16 14:23,0,#9: Born a Crime : Stories from a South African Childhood: Born a Crime : Stories from a South Africanäó_ http:// goo.gl/fb/GkXhh5 #Humor #Books,784459066231828000,https://twitter.com/HumorEntertainm/status/784459066231828481
MzNyc426,10/7/16 7:54,0,"Hope i win the @goodreads book giveaway for @Trevornoah new book #bornacrime . If not, maybe he can just give me the book. #worthashot",784361365519667000,https://twitter.com/MzNyc426/status/784361365519667200
PrincessBear_,10/7/16 7:19,0,Just entered a Goodreads giveaway for #BornACrime by @TrevorNoah ! Really hope I win. I'm getting my hands on a copy somehow!,784352338622361000,https://twitter.com/PrincessBear_/status/784352338622361600
_Books__,10/7/16 6:16,0,Born a Crime : Stories from a South African Childhood Trevor Noah (Author) 392% Sales Rank inäó_ http:// goo.gl/fb/VUQvYU,784336609462190000,https://twitter.com/_Books__/status/784336609462190080
Pre_Order_Books,10/7/16 5:45,0,#AMAZON MOVER & SHAKER #9: Born a Crime : Stories from a South African Childhood.. http:// amzn.to/2dX31Oh #BOOKS #READ,784328725399605000,https://twitter.com/Pre_Order_Books/status/784328725399605249
Tingnonoh,10/7/16 3:25,2,Trevor Noah's first book to be released under a month * Born A Crime & Other Stories,784293501173243000,https://twitter.com/Tingnonoh/status/784293501173243905
Joonji,10/7/16 2:15,0,"Trevor Noah's realising his new book,  Born A crime ."" http://www. timeslive.co.za/thetimes/2016/ 10/07/Mzansi-fans-in-for-special-Trevor-Noah-treat äó_ via @TimesLIVE""",784275824824299000,https://twitter.com/Joonji/status/784275824824299520
_Books__,10/7/16 1:36,0,Born a Crime : Stories from a South African Childhood Trevor Noah (Author) 584% Sales Rank inäó_ http:// goo.gl/fb/u4zShm,784266228256825000,https://twitter.com/_Books__/status/784266228256825345
eQuiviaBooks,10/7/16 1:36,0,Born a Crime : Stories from a South African Childhood http:// equivia.net/literature-fic tion/born-a-crime-stories-from-a-south-african-childhood/ äó_,784266089362362000,https://twitter.com/eQuiviaBooks/status/784266089362362369
HumorEntertainm,10/7/16 1:29,0,#10: Born a Crime : Stories from a South African Childhood: Born a Crime : Stories from a Southäó_ http:// goo.gl/fb/8i1IsD #Humor #Books,784264250394980000,https://twitter.com/HumorEntertainm/status/784264250394980352
Pre_Order_Books,10/7/16 0:45,0,#AMAZON MOVER & SHAKER #7: Born a Crime : Stories from a South African Childhood.. http:// amzn.to/2dJjxDN #BOOKS #READ,784253224366714000,https://twitter.com/Pre_Order_Books/status/784253224366714880
MercorOrg,10/6/16 23:16,0,#5: Born a Crime : Stories from a South African Childhood - Born a Crime : Stories from a South African Childhood... http:// ow.ly/faHs505cIFu,784230802406211000,https://twitter.com/MercorOrg/status/784230802406211584
charlescml,10/6/16 23:05,0,#5: Born a Crime : Stories from a South African Childhood: Born a Crime : Stories from a South African Childhoo... http:// amzn.to/2e7pJX1,784228058051915000,https://twitter.com/charlescml/status/784228058051915777
MeloniFulvio,10/6/16 23:01,1,#5: Born a Crime : Stories from a South African Childhood - Born a Crime : Stories from a South African Childhood... http:// ow.ly/wilz505cHDh,784227060520714000,https://twitter.com/MeloniFulvio/status/784227060520714241
grantteaff,10/6/16 22:25,0,#4: Born a Crime : Stories from a South African Childhood: Born a Crime : Stories from a South African Childhoo... http:// amzn.to/2dPCFfE,784217946314768000,https://twitter.com/grantteaff/status/784217946314768384
PhotographyArt_,10/6/16 22:24,0,#9: Born a Crime : Stories from a South African Childhood: Born a Crime : Stories from a Southäó_ http:// goo.gl/fb/qffvGZ #Arts #Photography,784217720065757000,https://twitter.com/PhotographyArt_/status/784217720065757184
MercorOrg,10/6/16 22:15,0,#4: Born a Crime : Stories from a South African Childhood - Born a Crime : Stories from a South African Childhood... http:// ow.ly/qycv505cFk9,784215646292811000,https://twitter.com/MercorOrg/status/784215646292811776
MeloniFulvio,10/6/16 22:01,8,#4: Born a Crime : Stories from a South African Childhood - Born a Crime : Stories from a South African Childhood... http:// ow.ly/hrlh505cEAL,784211940197498000,https://twitter.com/MeloniFulvio/status/784211940197498885
HighEnd_Gear,10/6/16 21:40,0,"Born a Crime : Stories from a South African Childhood Trevor Noah (Author) 3,470% Sales Rank in Books: 333 (wa... http:// amzn.to/2dCyZzF",784206708126035000,https://twitter.com/HighEnd_Gear/status/784206708126035968
