Title:ONE MORE THING: STORIES AND OT,Week End,Week End,Week End,Week End,Week End,Week End,Week End,Week End,Week End,Week End,Week End,Week End,Week End,Week End,Week End,Week End,Week End,Week End,Week End,Week End,Week End,Week End,Week End,Week End,Week End,Week End
Week End,12/22/2013,12/29/2013,1/5/2014,1/12/2014,1/19/2014,1/26/2014,2/2/2014,2/9/2014,2/16/2014,2/23/2014,3/2/2014,3/9/2014,3/16/2014,3/23/2014,3/30/2014,4/6/2014,4/13/2014,4/20/2014,4/27/2014,5/4/2014,5/11/2014,5/18/2014,5/25/2014,6/1/2014,6/8/2014,6/15/2014
Northeast,0,0,0,0,1,0,13,474,894,543,496,314,286,231,161,173,153,181,116,108,114,112,115,113,88,113
Middle Atlantic,0,0,0,0,0,0,2,1340,1069,983,827,628,519,442,308,316,333,291,250,275,253,252,194,194,203,191
East North Central,0,0,0,0,0,0,0,664,778,670,650,430,389,334,292,233,252,258,212,215,169,142,141,143,103,139
West North Central,0,0,0,0,0,0,0,274,358,330,342,207,173,116,108,78,75,106,82,59,82,50,49,38,52,45
South Atlantic,0,0,0,0,0,1,10,1040,973,871,654,464,406,276,273,278,213,269,173,170,232,147,162,152,160,160
South Central,0,0,0,0,0,0,0,657,641,608,560,452,679,217,246,176,199,173,153,160,165,159,171,123,146,146
Mountain,0,0,0,0,0,0,0,254,317,273,235,153,127,112,105,88,77,98,74,58,76,70,48,60,70,48
Pacific,0,0,0,0,0,0,0,1103,1343,1546,837,619,459,447,413,387,365,372,282,227,286,183,186,180,234,225
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
