username, date, retweets, text, id, permalink
Oluebube_A,2017-02-07 18:25,1,"a book. Hard copy of Trevor Noah's Born A Crime .","829108845209382912",https://twitter.com/Oluebube_A/status/829108845209382912
raultorres2000,2017-02-07 18:02,0,"Finished listening to Born a Crime : Stories from a South African Childhood ... by .... Try #Audible and get it fre… https://www. audible.com/pd?asin=B01IW9 TQPK&source_code=AFAORWS04241590G4 …","829103088174784512",https://twitter.com/raultorres2000/status/829103088174784512
TeslaSawFuture,2017-02-07 17:59,0,"Finished listening to Born a Crime : Stories from a South African Childhood ... by .... Try #Audible and get it free: https://www. audible.com/pd?asin=B01IW9 TQPK&source_code=AFAORWS04241590G4 …","829102310177570821",https://twitter.com/TeslaSawFuture/status/829102310177570821
emsotoauthor,2017-02-07 17:50,0,"30% done with Born a Crime , by Trevor Noah: Sooo good! https:// goodreads.com/user_status/sh ow/121397083 …","829100155752292353",https://twitter.com/emsotoauthor/status/829100155752292353
nikiverse,2017-02-07 17:31,0,"Nothing burns like a tire... #BornaCrime","829095300140773376",https://twitter.com/nikiverse/status/829095300140773376
panthermichael,2017-02-07 17:26,0,"Trevor Noah Born a Crime","829093988493729798",https://twitter.com/panthermichael/status/829093988493729798
jjones5647,2017-02-07 17:22,1,"#morganlovestrevor @Trevornoah SGJC wants YOU, Trevor. We bought 400 copies of Born a Crime to kick off our Book of the Semester program. pic.twitter.com/m8aBwQSY15","829093014211592192",https://twitter.com/jjones5647/status/829093014211592192
jacquel29242173,2017-02-07 17:20,1,"#morganlovestrevor @Trevornoah SGJC wants YOU, Trevor. We bought 400 copies of Born a Crime to kick off our Book of the Semester program. pic.twitter.com/zNJqjIYGON","829092376903839744",https://twitter.com/jacquel29242173/status/829092376903839744
randysusanmeyer,2017-02-07 17:04,1,"Awed by the understanding of domestic violence @Trevornoah comes to in BORN A CRIME . I worked in field for ten years--he captures truth.","829088510804127745",https://twitter.com/randysusanmeyer/status/829088510804127745
annarden,2017-02-07 16:40,0,"Have you read/listened to @Trevornoah 's Born a Crime ? (PS: Can I come over to play? I love puzzles!!)","829082408377053186",https://twitter.com/annarden/status/829082408377053186
ShortFilmSunday,2017-02-07 16:35,0,"I say @Trevornoah 's #BornACrime is a must. And Ann Patchett's "Truth & Beauty", if you haven't read it already.","829081251244015617",https://twitter.com/ShortFilmSunday/status/829081251244015617
TheGreatJulini,2017-02-07 16:13,0,"I'm really upset that I used a free book credit for Born A Crime when I could've used a promo code AND kept my book credit","829075515713716224",https://twitter.com/TheGreatJulini/status/829075515713716224
bearlechien,2017-02-07 16:10,0,"Interesting. I fear for my son's right to healthcare in this country. See, he was born a crime (i.e., w/ a pre-existing condition).","829074939944828930",https://twitter.com/bearlechien/status/829074939944828930
O_Oicu,2017-02-07 16:01,0,".MorganU SchoolofGlobalJournalism chose to distribute hundreds of @Trevornoah s ' Born A Crime ' to students for their BookaSemester Program","829072690736668672",https://twitter.com/O_Oicu/status/829072690736668672
