username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
randomhouse;2016-10-24 18:10;7;12;"Don't miss @Trevornoah 's compelling, inspiring, and comically sublime memoir BORN A CRIME – out November 15th. #BornACrime pic.twitter.com/x4NbofuUEI";;@Trevornoah;#BornACrime;"790676875580506112";https://twitter.com/randomhouse/status/790676875580506112
DoingDewey;2016-10-21 19:30;1;2;"Love the new Daily Show? Don't miss this! Born A Crime http://www. spiritblog.net/born-a-crime/ via @dvmheather #NonfictionFriday";;@dvmheather;#NonfictionFriday;"789609879589773312";https://twitter.com/DoingDewey/status/789609879589773312
randomhouse;2016-10-21 15:10;0;3;"Learn about @TheDailyShow host @Trevornoah 's upbringing in South Africa through his new memoir, BORN A CRIME . Out November 15th. #BornACrime pic.twitter.com/C0LSb970P5";;@TheDailyShow @Trevornoah;#BornACrime;"789544429761814528";https://twitter.com/randomhouse/status/789544429761814528
iamsolman;2016-10-21 13:16;0;1;"From the township to leading @TheDailyShow , I feel #bornacrime is going to be an inspiring read. Can it not be too expensive please.";;@TheDailyShow;#bornacrime;"789515787602124801";https://twitter.com/iamsolman/status/789515787602124801
amylikestoread;2016-10-21 11:05;0;0;"Marked as to-read: Born a Crime by Trevor Noah https:// goodreads.com/review/show/17 90369165 …";;;;"789482667624501249";https://twitter.com/amylikestoread/status/789482667624501249
thetravelgene;2016-10-21 07:01;0;1;"I'm going to see @Trevornoah live in conversation @CentralHall AND get a copy of #bornacrime . A WOO-HOO is in order! http:// amzn.to/2e9oyoa";;@Trevornoah @CentralHall;#bornacrime;"789421237424578561";https://twitter.com/thetravelgene/status/789421237424578561
snowboots0615;2016-10-21 03:26;0;0;"4 of 5 stars to Born a Crime by Trevor Noah https:// goodreads.com/review/show/17 80365190 …";;;;"789367240999243776";https://twitter.com/snowboots0615/status/789367240999243776
mcrlyric_bot;2016-10-20 21:42;0;0;"You were always born a crime , We salute you in your grave";;;;"789280654777167873";https://twitter.com/mcrlyric_bot/status/789280654777167873
lilboxism;2016-10-19 23:33;0;0;"Marked as to-read: Born a Crime by Trevor Noah https:// goodreads.com/review/show/17 89233130 …";;;;"788946097976770560";https://twitter.com/lilboxism/status/788946097976770560
joiedeslivres;2016-10-19 19:43;0;4;"My next read! #BornACrime @Trevornoah https:// twitter.com/randomhouse/st atus/788776903675146240 …";;@Trevornoah;#BornACrime;"788888441593344000";https://twitter.com/joiedeslivres/status/788888441593344000
Arts_Enterta;2016-10-19 17:46;0;0;"#6: Born a Crime : Born a Crime by Trevor Noah (Author, Narrator), Audible Studios (Publisher… https:// goo.gl/fb/dfRMkf #Arts #Entertainmen";;;#6 #Arts #Entertainmen;"788858814359560192";https://twitter.com/Arts_Enterta/status/788858814359560192
BonBonTS;2016-10-19 13:16;0;0;"73% done with Born a Crime , by Trevor Noah https:// goodreads.com/user_status/sh ow/110805221 …";;;;"788790960234913792";https://twitter.com/BonBonTS/status/788790960234913792
emilymelissabee;2016-10-19 10:35;0;1;"Absolutely loved Born a Crime by @Trevornoah (coming out Nov 15). Such a storyteller; such stories to tell. #goodreads";;@Trevornoah;#goodreads;"788750417647853568";https://twitter.com/emilymelissabee/status/788750417647853568
Arts_Enterta;2016-10-18 23:50;0;0;"#7: Born a Crime : Born a Crime by Trevor Noah (Author, Narrator), Audible Studios (Publisher… https:// goo.gl/fb/S25Jx8 #Arts #Entertainmen";;;#7 #Arts #Entertainmen;"788588152726454273";https://twitter.com/Arts_Enterta/status/788588152726454273
DavidCandor;2016-10-18 22:30;0;0;"If you were born a crime , then @TheDailyShow should be aborted. Last night was a tutorial on your ignorance. #NeverNoah";;@TheDailyShow;#NeverNoah;"788567895748083712";https://twitter.com/DavidCandor/status/788567895748083712
