username, date, retweets, text, id, permalink,,,,
ItsAJWillingham,5/7/11 19:51,0,"I have been waiting for a book about which I can say, I like the part where she talks about poop."" Thank you",6.70136E+16,https://twitter.com/ItsAJWillingham/status/67013596042887168,,,,
theStackasaurus,5/7/11 19:46,0,Finished Bossypants ! Hilarious and brilliant. I love Tina Fey so much,6.70125E+16,https://twitter.com/theStackasaurus/status/67012497860870144,,,,
RubyFolie,5/7/11 19:44,0,L'histoire ne dit pas si Tina Fey est redevenue Â« head writer Â» de #SNL le temps d'une Ã©mission aussi... #bossypants,6.70118E+16,https://twitter.com/RubyFolie/status/67011833101430784,,,,
wistfulness,5/7/11 19:41,0,finished Bossypants by Tina Fey and gave it 5 stars http://amzn.to/dRoCgd #Kindle,6.70113E+16,https://twitter.com/wistfulness/status/67011318389030914,,,,
QtheBrand,5/7/11 19:40,0,"It's about time, young lady! â€œ @BarterGroupAZ : Picking up book club selection bossypants . (@Barnes & Noble) http:// 4sq.com/iL5K1n â€ù",6.7011E+16,https://twitter.com/QtheBrand/status/67011028906553344,,,,
cindyloopeeples,5/7/11 19:40,0,just spent hours reading Bossypants while hopelessly digging through the plastic grass of last month's easter basket to find that last Rolo,6.7011E+16,https://twitter.com/cindyloopeeples/status/67010974078607360,,,,
deannamoffitt,5/7/11 19:39,0,I spent my day in NY curled up reading Tina Fey's Bossypants . Two man sized thumbs up! #fb,6.70106E+16,https://twitter.com/deannamoffitt/status/67010611128709121,,,,
craig_mcquinn,5/7/11 19:37,0,BOSSYPANTS is brilliant. Now I want to see Liz Lemon solve sexy child murders in Miami.,6.70101E+16,https://twitter.com/craig_mcquinn/status/67010110597242880,,,,
bookofwinner,5/7/11 19:35,0,#books #deals #store #1: Bossypants : Bossypants Tina Fey (Author) 38 days in the top 100 (188)Download: $12.99... http://bit.ly/cT1CTm,6.70097E+16,https://twitter.com/bookofwinner/status/67009674628710400,,,,
andiedg,5/7/11 19:30,0,"ok, off to sleep. but before sleeping... need.... to..... read....a ..... bit.....more....' bossypants '......!",6.70084E+16,https://twitter.com/andiedg/status/67008390710308864,,,,
AngelaL0ng,5/7/11 19:29,0,@RJ0hn50n Did you see who's hosting SNL tonight??????? One hint.... Bossypants,6.70082E+16,https://twitter.com/AngelaL0ng/status/67008156710092800,,,,
bookofwinner,5/7/11 19:28,0,#entertainment #hot #1: Bossypants : Bossypants Tina Fey (Author) (188)Download: $12.99 2 used & new from $9.99(... http://bit.ly/cGIedd,6.70081E+16,https://twitter.com/bookofwinner/status/67008050690654208,,,,
loveisnotlove,5/7/11 19:28,0,Bossypants by Tina Fey: review - Telegraph: http://bit.ly/mBAAqk /// I agree with this while still loving the book. I know. Irrational.,6.7008E+16,https://twitter.com/loveisnotlove/status/67008027638763521,,,,
BarterGroupAZ,5/7/11 19:27,0,Picking up book club selection bossypants . (@Barnes & Noble) http://4sq.com/iL5K1n,6.70078E+16,https://twitter.com/BarterGroupAZ/status/67007786952835073,,,,
Guardian_at_27,5/7/11 19:24,0,Reading Tina Fey's #Bossypants . That woman is hi-la-ri-ous!,6.70069E+16,https://twitter.com/Guardian_at_27/status/67006883168395264,,,,
mindtrip,5/7/11 19:17,0,Two books I want: Bossypants and This is a Book. I want them badly.,6.70052E+16,https://twitter.com/mindtrip/status/67005155140304897,,,,
AlexiWheeler,5/7/11 19:17,0,"Excerpt from Tina Feys  Bossypants "" http://su.pr/2uQLDX""",6.70051E+16,https://twitter.com/AlexiWheeler/status/67005053432643584,,,,
kaycee_kay,5/7/11 19:11,0,Holy Review...Raannnrrrr! hiss! Bossypants by Tina Fey: review - Telegraph http://www. telegraph.co.uk/culture/849538 4/Bossypants-by-Tina-Fey-review.html â€_ via @Telegraph,6.70036E+16,https://twitter.com/kaycee_kay/status/67003612122988544,,,,
DorianTB,5/7/11 19:10,0,"@IntNorbertCon Re BOSSYPANTS book review: They're probably just jealous because Tina's the funniest, smartest, cutest gal in Puppetland. :)",6.70033E+16,https://twitter.com/DorianTB/status/67003276381536256,,,,
refreshingd,5/7/11 19:09,0,I wonder how many times Bossypants will be mentioned on #SNL tonight.,6.70031E+16,https://twitter.com/refreshingd/status/67003074635513856,,,,
iDontGotATwitta,5/7/11 19:07,0,@curtistbanks ok mr. bossypants,6.70025E+16,https://twitter.com/iDontGotATwitta/status/67002525429153793,,,,
sarahweiriooss,5/7/11 19:01,0,Getting ready to see #Bossypants aka Tina Fey @#SNL dress rehearsal. Gotta show luv 2 my fellow UWS working mom! So excited!,6.70012E+16,https://twitter.com/sarahweiriooss/status/67001204131102721,,,,
