username, date, retweets, text, id, permalink
misskittyinNYC,2011-07-04 13:43,0,"Best read of the summer? @Arngrim memoir Confessions of a Prairie Bitch ! Can't put it down! #CONFESSIONSOFAPRAIRIEBITCH http:// twitpic.com/5l6w2n","87939594523381760",https://twitter.com/misskittyinNYC/status/87939594523381760
Luindriel,2011-07-03 23:21,1,"@flutenik I'm reading Game of Thrones, hard to put down! For laugh/cry read @Arngrim 's Confessions of a Prairie Bitch . Want more recs? :)","87722722293063681",https://twitter.com/Luindriel/status/87722722293063681
KrissyMP,2011-07-03 14:19,0,"@Arngrim I want Confessions of a Prairie Bitch :....For my #Birthday July 31 any chance? WOW ALL 5 Stars on AMAZON they only have kindle tho","87586204907864065",https://twitter.com/KrissyMP/status/87586204907864065
LjVrieze,2011-07-02 22:56,0,"@Arngrim . I also just finished " Confessions of a Prairie Bitch ". Heard her speak in Walnut Grove last summer and was so neat to read.","87354043348951041",https://twitter.com/LjVrieze/status/87354043348951041
sarstarzs,2011-06-30 11:35,0,"@Arngrim Confessions of a Prairie Bitch was the best book I've read all summer!","86457757959585792",https://twitter.com/sarstarzs/status/86457757959585792
lakestcreamery,2011-06-30 02:54,3,"Just finished reading @Arngrim Confessions of a Prairie Bitch . Stop what ur doing, pull it together & buy the download/book immediately. ","86326803706298368",https://twitter.com/lakestcreamery/status/86326803706298368
DavidTheLeo,2011-06-29 19:43,0,"Alison Arngrim's new book " Confessions of a Prairie Bitch (as Nelly Oleson) is utterly delicious. You all must read it. Buy it.","86218145332854785",https://twitter.com/DavidTheLeo/status/86218145332854785
lindadotterer,2011-06-29 16:13,0,"I'm #reading Confessions of a Prairie Bitch by Alison Arngrim http://bit.ly/ljQA9E","86165466996940800",https://twitter.com/lindadotterer/status/86165466996940800
motherallie,2011-06-29 12:24,1,"Best summer read for 2011: Confessions of a Prairie Bitch by Alison @Arngrim (THE Nellie Olson!) Bonnet-heads, you will not be disappointed!","86107761401798656",https://twitter.com/motherallie/status/86107761401798656
kaseymackenzie,2011-06-28 23:58,1,"Okay I LOVE the actress who played Nellie Oleson's title for her book: Confessions of a Prairie Bitch . Hahaha! Loved to hate Nellie.","85920034832134144",https://twitter.com/kaseymackenzie/status/85920034832134144
lindadotterer,2011-06-28 21:23,0,"I'm #reading Confessions of a Prairie Bitch by Alison Arngrim http://bit.ly/ljQA9E","85881089553465344",https://twitter.com/lindadotterer/status/85881089553465344
DavidTheLeo,2011-06-28 20:01,0,"I'm reading " Confessions of a Prairie Bitch by the woman who played Nellie Oleson--Allison Arngrim. On Little House. Fantastic book.","85860482405236736",https://twitter.com/DavidTheLeo/status/85860482405236736
