username, date, retweets, text, id, permalink
Mistyrose78,2011-08-12 21:14,0,"Bought Alison Angrim's Confessions of a Prairie Bitch at Barnes & Noble tonight (thank you, 20% off coupon). Looking forward to the read.","102186234436263937",https://twitter.com/Mistyrose78/status/102186234436263937
anyslyenchanter,2011-08-12 15:14,0,"#fridayreads " Confessions of a Prairie Bitch " by Alison Arngrim (aka @arngrim aka Nellie Oleson from Little House). Stellar so far!","102095594792824833",https://twitter.com/anyslyenchanter/status/102095594792824833
TeresaMedeiros,2011-08-12 12:55,0,"I think CONFESSIONS OF A PRAIRIE BITCH by Allison @Arngrim is the best memoir I've read since Jeanette Wall's THE GLASS CASTLE.","102060648799813633",https://twitter.com/TeresaMedeiros/status/102060648799813633
1stephie,2011-08-12 00:10,0,"How weird is it that the same day I finish " Confessions of a Prairie Bitch " by @Arngrim a 97 year old tells me its good to be a bitch hahaha","101868050751569922",https://twitter.com/1stephie/status/101868050751569922
TeresaMedeiros,2011-08-10 15:05,0,"Reading CONFESSIONS ( OF A ) PRAIRIE BITCH by @Arngrim and loving it! http://amzn.to/oOPeCb","101368583640199168",https://twitter.com/TeresaMedeiros/status/101368583640199168
chelseyhybrid,2011-08-08 11:02,0,"#Weekendreads Confessions of a Prairie Bitch by Alison @Arngrim . Such an honest, fun, wonderful read!","100582683146596352",https://twitter.com/chelseyhybrid/status/100582683146596352
MHalleBerry,2011-08-08 03:38,0,"Alison Arngrim signed copies of her new book Confessions Of A Prairie Bitch at Book Soup on Monday, _Halle Berry_... http://dlvr.it/fJRHD","100470830496096256",https://twitter.com/MHalleBerry/status/100470830496096256
gugraphicdotcom,2011-08-07 19:42,0,"Confessions of a Prairie Bitch : How I Survived Nellie Oleson and Learned to Love Being Hated (Kindle Edition): ... http://bit.ly/nYxDqU","100351047641468930",https://twitter.com/gugraphicdotcom/status/100351047641468930
petLoveDNA,2011-08-07 19:42,0,"Confessions of a Prairie Bitch : How I Survived Nellie Oleson and Learned to Love Being Hated (Kindle Edition): ... http://bit.ly/nYxDqU","100351047511441408",https://twitter.com/petLoveDNA/status/100351047511441408
schan1709,2011-08-07 19:42,0,"Confessions of a Prairie Bitch : How I Survived Nellie Oleson and Learned to Love Being Hated (Kindle Edition): ... http://bit.ly/nYxDqU","100351047402401792",https://twitter.com/schan1709/status/100351047402401792
