username, date, retweets, text, id, permalink
Rome_at_Home,2015-11-04 18:57,0,"Not sure if I want to eat half of the corn ear my mom made me or a piece of pie my dad made. My family is the reason I'm fat .","662056148355256321",https://twitter.com/Rome_at_Home/status/662056148355256321
kcole_ox,2015-11-04 18:47,0,"Jeremy's dad is dropping hella fat jokes on me. LIKE OK SORRY IM PUTTING ON A FEW LBS","662053608385572865",https://twitter.com/kcole_ox/status/662053608385572865
YoItsTahn,2015-11-04 18:34,1,"My dad just said that Cee Lo's hair "don't fit him no more. Look how fat he is " DYINGGGGGGGGFGBWJDJDJSJJ","662050368197681152",https://twitter.com/YoItsTahn/status/662050368197681152
GoonerMaxwell,2015-11-04 18:12,0,"My dad is laughing at the deaf people on Newsnight ffs fat cunt","662044756181143552",https://twitter.com/GoonerMaxwell/status/662044756181143552
shobhinee_arasi,2015-11-04 17:22,0,"My dad is making me fat in the morning","662032316026322944",https://twitter.com/shobhinee_arasi/status/662032316026322944
bekkawithkays,2015-11-04 13:20,0,"My dad called me fat today so that's where my life is at","661971395224674304",https://twitter.com/bekkawithkays/status/661971395224674304
benjyboi123,2015-11-04 13:01,0,"Talking to my dad about cricket and he says "remember the time I started the Shane warne is a fat ...song" @ShaneWarne he's now fat #Kharma","661966551801794560",https://twitter.com/benjyboi123/status/661966551801794560
FakierJessa,2015-11-04 12:38,0,"PE's road rage dad was like 'a bull in a china shop' http:// a.msn.com/08/en-za/BBmOT Sp?ocid=st … The big fat man is an Apartheid product","661960722319089664",https://twitter.com/FakierJessa/status/661960722319089664
iOtororo_,2015-11-04 12:17,0,"the only reason she's got that kid is for the fat cheque she scams out of the dad for 'child support'","661955537748271105",https://twitter.com/iOtororo_/status/661955537748271105
dariannehanah,2015-11-04 01:34,0,"@anna_may7 i swear on my dad 's grave I won't call the fucking cops. Come on, fat ass. The worst you can do is sit on me.","661793549634129920",https://twitter.com/dariannehanah/status/661793549634129920
dannyblack97,2015-11-03 23:07,0,"My dad is watching a show that teaches fat people to survive in the wilderness...","661756597815943168",https://twitter.com/dannyblack97/status/661756597815943168
ksumiyukari,2015-11-03 21:26,0,"@CorvoSol riding a horse in final fantasy is like getting your dad 's hand me down Pinto. Fat Chocobo or GTFO!","661731257978478593",https://twitter.com/ksumiyukari/status/661731257978478593
FollowJesus33,2015-11-03 20:36,0,"My dad talk'n bout my cooking is making him fat . I said when am I gonna get fat from it? Then my momma yell's... http:// fb.me/4IxzmwQY9","661718745270849537",https://twitter.com/FollowJesus33/status/661718745270849537
Frank_Turk,2015-11-03 18:53,0,"@realtonybowers @BibChr Trump is not the stud. He's the fat kid with the rich dad . The irony is that Carly is the stud.","661692623220969476",https://twitter.com/Frank_Turk/status/661692623220969476
JuggaloTrash,2015-11-03 17:51,0,"Living life is so great when your dad refuses to acknowledge you and your mom thinks you're fat and disgusting","661677112391282690",https://twitter.com/JuggaloTrash/status/661677112391282690
kaitykeats,2015-11-03 17:15,0,"My dad makes me feel bad every time I eat because apparently everything I eat is just gonna turn into more fat","661668135934820359",https://twitter.com/kaitykeats/status/661668135934820359
Clitorifiic,2015-11-03 16:49,1,"@colinbenglenn im never not vaping even when my dad is beating me i blow fat ass clouds","661661457059340288",https://twitter.com/Clitorifiic/status/661661457059340288
Mdue_Dlamini,2015-11-03 14:19,0,"We've become a proper Sunday League side where the fat shit kid plays because his dad is the manager. I'm Going to sleep. #DROPRooney #mufc","661623781161607168",https://twitter.com/Mdue_Dlamini/status/661623781161607168
SaucySilasFans,2015-11-03 14:04,0,"@life_in_clomo He is pretty but after what he and his dad did to Priya yesterday they can kiss my fat arse.","661619989582118912",https://twitter.com/SaucySilasFans/status/661619989582118912
hyjak,2015-11-03 13:39,0,"Is it true the fat kid from Hey Dad is doing an anniversary tour with the fat cunt from PM Dawn?","661613724143214592",https://twitter.com/hyjak/status/661613724143214592
GriffTownsend,2015-11-03 13:17,0,"I hope the bagels my dad buys r cheap cause I love em and uni is gonna b full of me devouring them until my fat arms get in the way","661608265697095680",https://twitter.com/GriffTownsend/status/661608265697095680
juicyymoochiee,2015-11-03 12:42,0,"my dad just got me this bomb ass burger dude fat girl is happy","661599228695810048",https://twitter.com/juicyymoochiee/status/661599228695810048
Kaaashaa,2015-11-03 10:44,0,"My dad just approached a dude by saying "ay fat boy.." He is so rude","661569557262303233",https://twitter.com/Kaaashaa/status/661569557262303233
mini_vy,2015-11-03 08:55,0,"Dad : "get up and get ready to go to the gym, all you do is sit home and eat, you're fat " Me: I'll be up in 2 mins LOL","661542267975565312",https://twitter.com/mini_vy/status/661542267975565312
SummerLizzie,2015-11-03 03:51,0,"Lmfao the only guy that calls me fat is my dad but that don't hurt me! Like I know I am! I love being fat af so does my boyfriend","661465635260530688",https://twitter.com/SummerLizzie/status/661465635260530688
YachGeorge,2015-11-03 02:24,0,"@JennniferGeorge no I'm saying you needa cook haha the day you get fat is the day dad says he loves me","661443855150002176",https://twitter.com/YachGeorge/status/661443855150002176
MyImmortalPeace,2015-11-02 22:38,0,"Lol. This album cover of Fat Joe reminds me of my Dad . Well, Fat Joe is Puerto Rican, so I see why.","661386925522186240",https://twitter.com/MyImmortalPeace/status/661386925522186240
WorkmanNathan,2015-11-02 22:17,0,"On page 172 of 288 of Dad Is Fat , by Jim Gaffigan https:// goodreads.com/user_status/sh ow/79386659 …","661381551641526273",https://twitter.com/WorkmanNathan/status/661381551641526273
Golondrinaaaa_,2015-11-02 22:02,1,"@vjocelynn15 lmao girl bye. my mom is fat & my dad is a giant.","661377985136586756",https://twitter.com/Golondrinaaaa_/status/661377985136586756
LunaticPaul,2015-11-02 20:18,1,"When I told my dad the kevin owens is IC champ he said "oh, he's the big fat guy right?"","661351750058774528",https://twitter.com/LunaticPaul/status/661351750058774528
KMMAC5,2015-11-02 20:01,0,"When your driving and your fat is hanging over the seat belt and you realize fuck i have a dad","661347486586560512",https://twitter.com/KMMAC5/status/661347486586560512
