username, date, retweets, text, id, permalink
alonacarter_,2015-12-06 18:56,0,"My dad is hella fat and black looking like a damn blue berry in all of the blue","673652207405760512",https://twitter.com/alonacarter_/status/673652207405760512
kaylasittonn,2015-12-06 17:42,0,"me:omg the cat is limping! dad :its cuz shes fat me:*grabs cat and moves out cuz she doesnt need that kind of negativity*","673633713721180160",https://twitter.com/kaylasittonn/status/673633713721180160
FAT_MAGGOT,2015-12-06 17:26,0,"@FAT _MAGGOT and dad is being dad ......","673629565412122624",https://twitter.com/FAT_MAGGOT/status/673629565412122624
phoebeanastsiaa,2015-12-06 17:23,0,"my dad is emailing my social studies teacher right now and telling him I called him a fat fucking idiot","673628935540883457",https://twitter.com/phoebeanastsiaa/status/673628935540883457
leileileopold,2015-12-06 16:33,0,"My dad swears we don't do anything around the house ! His fat ass is always sleeping so stfu !","673616274723770368",https://twitter.com/leileileopold/status/673616274723770368
joespacerogers,2015-12-06 15:34,0,"@LiveForeverSY it was three quarters of a can and Fat Ryan is technically not a tramp so leave my dad out of it will you","673601470873387010",https://twitter.com/joespacerogers/status/673601470873387010
amybosniack,2015-12-06 15:11,0,"My dad is calling me and anth fat for getting nickys all while shoving a pizza puff and a big baby from nickys into his mouth.. Ok lol","673595618703646720",https://twitter.com/amybosniack/status/673595618703646720
C_Hough10,2015-12-06 14:06,0,"I wish food that is high in sugar, calories, carbs, fat , etc didn't make my dad so extremely happy.","673579375330226176",https://twitter.com/C_Hough10/status/673579375330226176
ZacRipple,2015-12-06 13:50,2,"sorry kids, christmas is canceled. Mom & Dad are #Trump2016 & we're not taking handouts from a fat , jolly commie. he wears red for a REASON","673575319945744385",https://twitter.com/ZacRipple/status/673575319945744385
iBe_Jeremy12,2015-12-06 13:02,0,""Looking to see if your dad has condoms,Im working on something downstairs." Costa:The only thing you're working on is diabetes,you fat pig.","673563065648996352",https://twitter.com/iBe_Jeremy12/status/673563065648996352
luxscriptoris,2015-12-06 11:04,1,"*tries to be happy* mom: is mad for no absolute reason dad : calls me fat me:","673533416269291520",https://twitter.com/luxscriptoris/status/673533416269291520
alice_weare,2015-12-06 05:16,0,"when I got home I told my parents they were the perfect couple apart from the fact my dad is fat and old","673445844411109376",https://twitter.com/alice_weare/status/673445844411109376
RealVincentChan,2015-12-06 03:52,6,"Louis is a fat rat Harry is not the dad","673424652438384640",https://twitter.com/RealVincentChan/status/673424652438384640
MarcosBaladez,2015-12-06 01:40,0,"My dad as a kid is fat me pic.twitter.com/iTpk3TsxrG","673391578782654465",https://twitter.com/MarcosBaladez/status/673391578782654465
nosetimes4moms,2015-12-06 00:27,0,"sorry your lady is so fat I couldn't get it up when I tried to rape her, dad","673373291369725952",https://twitter.com/nosetimes4moms/status/673373291369725952
MightieMinx,2015-12-06 00:01,0,"Wait, so fat kid's dad is Neelix, and he's been in jail? Neelix can't go to jail! #BadSanta","673366733072162817",https://twitter.com/MightieMinx/status/673366733072162817
sierraregino,2015-12-05 23:14,0,"when my dad goes to bed me and my mom sneak out and buy fast food so this is why I'm getting fat","673354849744998400",https://twitter.com/sierraregino/status/673354849744998400
Nikki_Vongohren,2015-12-05 18:29,0,"First my dad took me out to eat and now he's taking me for "beer and ice cream".. Is he trying to make me fat ?","673283170352160768",https://twitter.com/Nikki_Vongohren/status/673283170352160768
RickyRibardo,2015-12-05 17:45,0,"@marisavargasss yes my Dad is making me food because I'm a lazy fat fuck","673271936462381056",https://twitter.com/RickyRibardo/status/673271936462381056
