username, date, retweets, text, id, permalink
nudgeandawink,2011-08-21 17:14,0,"“ @captsingh : CONFESSIONS OF A PRAIRIE BITCH --Alison @arngrim performing in Provincetown Aug 21-30 Any chance of confessing in the UK?","105387437748006912",https://twitter.com/nudgeandawink/status/105387437748006912
alhollus,2011-08-21 17:06,0,"TODAY-ON MY BIRTHDAY! Celebrate and Have a Blast! " CONFESSIONS OF A PRAIRIE BITCH "--Alison @arngrim performing in Provincetown Aug 21-30","105385431285243904",https://twitter.com/alhollus/status/105385431285243904
captsingh,2011-08-21 15:57,1,"CONFESSIONS OF A PRAIRIE BITCH --Alison @arngrim performing in Provincetown Aug 21-30 more info in link spincyclenyc.com/index.php/live","105368047027630080",https://twitter.com/captsingh/status/105368047027630080
Leanne250489,2011-08-21 15:28,0,"RT 2 spread- CONFESSIONS OF A PRAIRIE BITCH --Alison @arngrim performing in Provincetown Aug 21-30 more info in link http:// spincyclenyc.com/index.php/live performances/1-live-performances/181-bitch …","105360728185249792",https://twitter.com/Leanne250489/status/105360728185249792
WillieOleson,2011-08-20 23:53,0,"@Twicanuck24 and a personalized signed copy of Prairie Tale & Confessions of a Prairie Bitch .","105125450614972416",https://twitter.com/WillieOleson/status/105125450614972416
AmyR86,2011-08-20 01:11,1,"Just read @arngrim 's book, " Confessions of a Prairie Bitch .." in 3 hours. Her story is remarkable; a must read for every #LHOTP fan. #nellie","104782606264045569",https://twitter.com/AmyR86/status/104782606264045569
jurisdog,2011-08-17 20:20,1,"Reading @Arngrim 's Confessions of a Prairie Bitch & snorting with laughter. Now want a Krakatoa East of Java Exploding Volcano Set.","103984558072012800",https://twitter.com/jurisdog/status/103984558072012800
tootsiepopdrops,2011-08-16 23:39,1,"@Arngrim just started reading Confessions of A Prairie Bitch so far I'm hooked - your family is fascinating! Despised Nellie - but U R cool","103672248140967936",https://twitter.com/tootsiepopdrops/status/103672248140967936
ChipDuckett,2011-08-15 19:50,0,"Real-life Nellie Oleson terrorizes Provincetown next week! Alison Arngrim in... Confessions of a Prairie Bitch ! @arngrim http:// bit.ly/phX2hp","103252258514411520",https://twitter.com/ChipDuckett/status/103252258514411520
spincyclenyc,2011-08-15 19:50,0,"Real-life Nellie Oleson terrorizes Provincetown next week! Alison Arngrim in... Confessions of a Prairie Bitch ! @arngrim http:// bit.ly/phX2hp","103252257235152896",https://twitter.com/spincyclenyc/status/103252257235152896
