username, date, retweets, text, id, permalink
DerekRuttle,2015-10-03 19:37,0,"Just started reading #DadIsFat by @JimGaffigan . I'm like 12 pages in, but already terrified of fatherhood. Thanks, Jim.","650454730301382658",https://twitter.com/DerekRuttle/status/650454730301382658
rebeccaleighr,2015-10-03 18:43,0,"My dad has called my sister bean since she was born bc she was tiny and my nickname is boo, was it bc I was a fat and scary infant?","650441104370835456",https://twitter.com/rebeccaleighr/status/650441104370835456
gillian_senter,2015-10-03 18:00,0,"When your dad is a fat head pic.twitter.com/kquvZD5wT3","650430247838593024",https://twitter.com/gillian_senter/status/650430247838593024
justbehapppy_,2015-10-03 17:01,0,"Alonna told Brayden that he's adopted & his dad is Umaga cause they are both fat as shit.","650415339386200065",https://twitter.com/justbehapppy_/status/650415339386200065
fat_dad_cyclist,2015-10-03 16:54,0,"Finishing third is not that bad #carrythemhome #carrythemout","650413634670231558",https://twitter.com/fat_dad_cyclist/status/650413634670231558
iAbilities,2015-10-03 16:48,0,"Yo I am a Hybrid that would like to be recognized as a My GT is A Fat Step Dad message me if you want to play or add later","650412204370477056",https://twitter.com/iAbilities/status/650412204370477056
trevor_walsh,2015-10-03 15:35,0,"@nickkroll my dad is fat and wears blousy button downs!","650393722601926656",https://twitter.com/trevor_walsh/status/650393722601926656
TeamCookies101,2015-10-03 15:02,0,"My dad is accusing me of calling him fat yeah ok dad .","650385452361363457",https://twitter.com/TeamCookies101/status/650385452361363457
younglibrarian,2015-10-03 14:42,4,"okay, #readadv peeps, i need some help. dad likes fat , "good" books. he leans toward sf/f, but primary concern is length, so any genre.","650380439954292736",https://twitter.com/younglibrarian/status/650380439954292736
ukissvee,2015-10-03 14:25,0,"my dad is fat so he works out a lot now and is screaming SUNDAY IS RUN DAY","650376053320368128",https://twitter.com/ukissvee/status/650376053320368128
adam_orsini,2015-10-03 14:17,0,"My dad is watching the music video for Antidote on VH1 and goes thats a fat ass blunt hes smoking","650374247655829504",https://twitter.com/adam_orsini/status/650374247655829504
KillSandie,2015-10-03 13:17,0,"All I want to know is .. Where is all this hurt from @njokichege ? Did a fat woman snatch your dad from your mom?","650359021514395648",https://twitter.com/KillSandie/status/650359021514395648
m4nduh,2015-10-03 13:17,0,"my dad just googled "why is my dog so fat " then he asked Siri ..","650359013645918208",https://twitter.com/m4nduh/status/650359013645918208
celesteenicole,2015-10-03 12:55,0,"" Celeste is becoming a whopper" thanks dad I know I'm getting fat","650353402400997376",https://twitter.com/celesteenicole/status/650353402400997376
greggholtsclaw,2015-10-03 12:19,0,"@benfowlkesMMA this seems common. as a fat dad just rolling- Strength work and weight cut for pro fighters is YMCA orientation-esque.","650344342201233408",https://twitter.com/greggholtsclaw/status/650344342201233408
ShreyVA,2015-10-03 11:18,0,"Me: "human body, poor design, 1 star on yelp" Papa Garga: "I think fat people share that opinion" My dad is the GOAT","650329055334649856",https://twitter.com/ShreyVA/status/650329055334649856
TurboSmutTweets,2015-10-03 06:00,0,"Photo: camigo2: The friction is amazing as dad pushes and pulls his fat cock in and out of my tight cunt. http:// tmblr.co/ZabJ2v1vS2dL4","650249106309414913",https://twitter.com/TurboSmutTweets/status/650249106309414913
kateputhota,2015-10-03 00:55,0,"My dad is just as obsessed with moth balls as the dad in my big fat Greek wedding is obsessed with windex","650172405311258624",https://twitter.com/kateputhota/status/650172405311258624
woahkate,2015-10-02 22:52,0,"there are three fat old men on our carriage wearing purple polo tshirts.... my dad is one of them","650141369684463617",https://twitter.com/woahkate/status/650141369684463617
m_strolIo,2015-10-02 22:07,0,"My dad is passed out and sings " fat guy in a little coat" IN HIS SLEEP","650130085735829504",https://twitter.com/m_strolIo/status/650130085735829504
MichaelaFeeney,2015-10-02 22:06,0,"Taylor's dad is forcing food on us and I'm like pls stop I'm stoned and I'm fat","650129727588540416",https://twitter.com/MichaelaFeeney/status/650129727588540416
onenutwarrior,2015-10-02 21:51,0,"-Brits dad-your cousin is a liberal cunt! -Brit- DAD !!! -Brits dad - sorry let me rephrase that, your cousin is a liberal FAT cunt!","650126107052769280",https://twitter.com/onenutwarrior/status/650126107052769280
dpfelix,2015-10-02 20:42,0,"@simongamer987 htat is the big fat phoney lie everyb ody knows only big white tire men work at mitchalin and i doust that your dad is a tire","650108619694960640",https://twitter.com/dpfelix/status/650108619694960640
eIusivechanteur,2015-10-02 20:17,0,"I just want to eat a big fat juicy burger right now but my dad is making ribs. I don't want that shit!","650102357477322752",https://twitter.com/eIusivechanteur/status/650102357477322752
jh05offical,2015-10-02 19:21,0,"@____broooklyn Hey Brooke it is me John and I wanted to tell you that my dad Is a big and fat . (by that I mean the same","650088215026601985",https://twitter.com/jh05offical/status/650088215026601985
obinson,2015-10-02 18:50,0,"@Salon As long as they're curvy GIRLS. Young fat is more acceptable than old fat on women. Dad bods get a pass, as usual.","650080404226113536",https://twitter.com/obinson/status/650080404226113536
EmRedhouse,2015-10-02 16:26,1,""my dad claims he's a man but his favorite movie is My Big Fat Greek Wedding"","650044188684341248",https://twitter.com/EmRedhouse/status/650044188684341248
writtencoffee,2015-10-02 16:15,0,"Me: is playing with dog, chilling, enjoying life Dad : ....so when are you going to start working out you're getting even more fat","650041424629661696",https://twitter.com/writtencoffee/status/650041424629661696
MotoE_Books,2015-10-02 15:35,0,"Sooooo turns out my dad is such a fat ass getting so excited over this new restaurant xD.","650031459231748096",https://twitter.com/MotoE_Books/status/650031459231748096
BrittnieScurry,2015-10-02 13:55,0,"Lux is LYRICALLY nicer than Clips. He had fat jokes, took his street cred, & exposed his dad . https:// twitter.com/jamasmoove/sta tus/650005034613243905 …","650006183122763777",https://twitter.com/BrittnieScurry/status/650006183122763777
modishbooks,2015-10-02 13:34,1,"My Fat Dad by @DawnLerman is out now from @penguinrandom ! Check it out for the chance to #WIN a print copy! #giveaway http:// thestephanieloves.blogspot.com/2015/10/my-fat -dad-by-dawn-lerman-giveaway-us.html?spref=tw …","650000870088675329",https://twitter.com/modishbooks/status/650000870088675329
PartyWaffle,2015-10-02 12:11,0,"Paul Walker's kid is suing Porche over her dad 's crash? That's like me suing Taco Bell for making me fat . That's been done too? Nevermind.","649980039459565568",https://twitter.com/PartyWaffle/status/649980039459565568
start_82,2015-10-02 10:44,0,"@SarahKogod how is this any different than anncrs making fun of fat guy stuffing his face? Or old dad who flounders to catch a foul ball?","649958090670903296",https://twitter.com/start_82/status/649958090670903296
DawnLerman,2015-10-02 09:07,1,""Everything about My Fat Dad is delicious, poignant and irresistible" Thank u @LevanaCooks #MyFatDad #Memoir #ManhattanRomance #food #love","649933841939996673",https://twitter.com/DawnLerman/status/649933841939996673
_elisarene,2015-10-02 09:03,0,"My dad wakes me up early af now I can't go back to sleep & what is my fat ass about to go do go get fucking donuts","649932598295183360",https://twitter.com/_elisarene/status/649932598295183360
FatChiefin,2015-10-02 08:13,0,"@MichaelRyanRuiz Better than any live sporting event. Better than when fat faces dad takes his shirt off. GoD song is the ultimate.","649920238360788993",https://twitter.com/FatChiefin/status/649920238360788993
spook_spoedee,2015-10-02 07:09,0,"My dad Got mad cuz I called him fat , like bruh it is what it is","649904133441515520",https://twitter.com/spook_spoedee/status/649904133441515520
zainabmuz,2015-10-02 06:10,0,"Sat in the car and my dad is calling me fat repeatedly because I decided to sleep in, think the word ur looking for is lazy ffs","649889146757120001",https://twitter.com/zainabmuz/status/649889146757120001
DawnLerman,2015-10-02 00:09,1,"My heart is pounding. #joy #gratitude My Fat Dad . Dawn Lerman. My Book Review https:// shar.es/179D6i via @levanacooks","649798355850297344",https://twitter.com/DawnLerman/status/649798355850297344
slighty_st00pid,2015-10-01 23:22,0,"*Daniel hits mod in front of my dad * Fat cloud * dad * "only thing I'm hitting like that is a bong get outta here" *Daniel* "well played"","649786384589320192",https://twitter.com/slighty_st00pid/status/649786384589320192
ShmoneyMoney_,2015-10-01 23:16,0,"alright sooo its been mcdonalds, than kfc and now Taco Bell. tf is up with the eating pattern dad ... u tryna make me fat ?!","649784954143027200",https://twitter.com/ShmoneyMoney_/status/649784954143027200
HowdyFL,2015-10-01 22:06,0,""What The Hell Is He Doin That Fat Nigger!" - Shit My Dad Says When Watching FootBall","649767407200935937",https://twitter.com/HowdyFL/status/649767407200935937
hailbob13,2015-10-01 22:06,0,"One second my dad is telling me not to get fat in college & the next he is asking me if I want him to make me a burger at 9pm","649767328163336192",https://twitter.com/hailbob13/status/649767328163336192
VaySoFetch,2015-10-01 21:01,0,"My dad is mad because Bailey is fat and her husband is good looking and she doesn't deserve a good looking man cause she's fat","649751074966863872",https://twitter.com/VaySoFetch/status/649751074966863872
BradleyBGroover,2015-10-01 17:42,0,"Nobody is fat either at least not when they were young my Dad looks like a bear now","649700916107563008",https://twitter.com/BradleyBGroover/status/649700916107563008
crimewire,2015-10-01 17:05,0,"What is Dawn Lerman reading?: Featured at Writers Read: Dawn Lerman, author of My Fat Dad : A Memoir of Food, L... http:// bit.ly/1FJeRHu","649691544631414784",https://twitter.com/crimewire/status/649691544631414784
stephydxx,2015-10-01 17:00,0,"Feeling homesick once again, all I want is a big fat cuddle of my mum and dad","649690385011314688",https://twitter.com/stephydxx/status/649690385011314688
OndreaRenee,2015-10-01 16:23,0,"My dad is always making fun of my fat dog","649680974746374144",https://twitter.com/OndreaRenee/status/649680974746374144
jaltucher,2015-10-01 16:18,0,"@Thomas_Ulibarri today: read " Dad is Fat " by Jim Gaffigan and watched Andy Samberg open at the latest Emmies","649679804250386432",https://twitter.com/jaltucher/status/649679804250386432
ChaseNocturne,2015-10-01 15:29,0,"Being dog fat is the new fashion dad these days. Be in style: be a pup's lunch.","649667509956665344",https://twitter.com/ChaseNocturne/status/649667509956665344
_1_d0nt_kn0w_,2015-10-01 15:03,0,"Hearing my dad complain about money is like listening to a fat kid complain about starving with his mouth full","649660854833651716",https://twitter.com/_1_d0nt_kn0w_/status/649660854833651716
chloebaker988,2015-10-01 13:46,0,"MY DAD IS A FAT PRICK, HE JUST LOST ABOUT 8 HOURS OF MY WORK TO LOGIN TO FACEBOOK","649641485416144897",https://twitter.com/chloebaker988/status/649641485416144897
HowdyasayNiamh,2015-10-01 12:49,0,"Child pressed her head up against my belly and said, "Teacher I love you. My Dad is also fat ." #AndExhale","649627124287074304",https://twitter.com/HowdyasayNiamh/status/649627124287074304
Emosgrove1,2015-10-01 07:54,0,"My Fat Dad is growing up so fast...he's 4mons today!! Happy Birthday… https:// instagram.com/p/8S0aCDH4-YDF 8pbFTNR11BdaBdFe6oij8MObc0/ …","649553082829942784",https://twitter.com/Emosgrove1/status/649553082829942784
5H_jauregay,2015-10-01 05:47,0,"@5H_jauregay is this the way of him telling me that im fat okay dad okay","649521096891371520",https://twitter.com/5H_jauregay/status/649521096891371520
allyr34,2015-09-30 23:33,0,"My dad "Mami Aaliyah is too fat " lol my daughter is just chubby","649426955595464704",https://twitter.com/allyr34/status/649426955595464704
Austin_Nagel,2015-09-30 23:28,0,""My dad is fat he can't pull hoes" - Avery","649425666966839296",https://twitter.com/Austin_Nagel/status/649425666966839296
ArijetaD,2015-09-30 22:30,0,"And my dad is the reason why I'm fat pic.twitter.com/iMyw7pml1j","649411005274046465",https://twitter.com/ArijetaD/status/649411005274046465
lizarxe,2015-09-30 22:26,0,"* @portableshua on the tv* my dad : "look at our little josh .... that lil round fat boy is all grown up"","649409975035400193",https://twitter.com/lizarxe/status/649409975035400193
DubSnowyOwl,2015-09-30 22:12,0,"My dad : "you need to gain weight you're too skinny" "Do you know how many calories is in that? You're going to get fat "","649406474205003776",https://twitter.com/DubSnowyOwl/status/649406474205003776
meghann_barnes,2015-09-30 21:43,0,"My dad bought me my own pizza. Is he trying to make me fat ??","649399326322520064",https://twitter.com/meghann_barnes/status/649399326322520064
SammWittman23,2015-09-30 21:31,0,"I thought my dad is suppose to tell me I'm not fat . Instead he calls me Tank & is now making me a diet plan","649396276954402816",https://twitter.com/SammWittman23/status/649396276954402816
k_i_n_ggg,2015-09-30 21:22,0,"Magialey god dad is on Empire the blacc, fat cop his name is bunch dats my sis goddafbon my mom","649393976089411584",https://twitter.com/k_i_n_ggg/status/649393976089411584
ubertrance,2015-09-30 18:49,0,"@SpiffSinister @selenium_ I dont think he is flab, he is fat . I mean like small flabby Dad sort of like Jerry from Rick and Morty","649355454250926082",https://twitter.com/ubertrance/status/649355454250926082
LizStephanie_15,2015-09-30 18:35,0,"At the bx with my dad : Me:..(just leaving) Ebony: (walks up behind me and whispers) damn lil mama that ass is fat I love her","649351854816563200",https://twitter.com/LizStephanie_15/status/649351854816563200
countrygirl2986,2015-09-30 17:51,0,"@wmmorgan dad 's look better...his is fried...but mine is healthier...fried ain't gonna get this fat gone... #dietin #27poundsdown #proud","649340747666337793",https://twitter.com/countrygirl2986/status/649340747666337793
joe_yeates,2015-09-30 17:21,0,"Okay, it's official! I am a fat cunt. Even though the Dad Bod is in. I need to pull my finger out. I'll start Monday","649333164884795392",https://twitter.com/joe_yeates/status/649333164884795392
elene_pan,2015-09-30 16:47,0,"MY DAD IS LITERALLY THE DAD FROM MY BIG FAT GREEK WEDDING","649324652406439936",https://twitter.com/elene_pan/status/649324652406439936
BillCosbyF1,2015-09-30 14:31,0,"World is changing. One can now spend a night in jail if you call someone " Fat " in some parts of the USA it's a crime. Where's dad mum?","649290597434585088",https://twitter.com/BillCosbyF1/status/649290597434585088
_Nanabbi_,2015-09-30 13:57,0,"@Alaster86 My dad doesn't wanna get Oz neutered because he is certain he will get fat =w=; But there is no way he will stay if he is not","649281882799140864",https://twitter.com/_Nanabbi_/status/649281882799140864
HHHOwnsMyHeart,2015-09-30 13:55,0,"all I do nowadays is sleep or eat, this is not a drill guys I might actually get fat for once. Dad would be so happy lol.","649281524701917184",https://twitter.com/HHHOwnsMyHeart/status/649281524701917184
Bajgop07,2015-09-30 12:18,0,"She's not skinny either @adebolamint : @bajgop07 She is not fat ,my dad is lol"","649257116428070912",https://twitter.com/Bajgop07/status/649257116428070912
adebolamint,2015-09-30 12:14,1,"@bajgop07 She is not fat ,my dad is lol","649256105558867968",https://twitter.com/adebolamint/status/649256105558867968
acidory2_0,2015-09-30 12:09,0,"this girl asked me if my dad owns a sombrero bc he's mexican ... i asked her if her dad is fat and owns a riffle bc he's white(: she mad now","649254800777809920",https://twitter.com/acidory2_0/status/649254800777809920
