username, date, retweets, text, id, permalink
lennierosswrite,2012-05-29 01:57,0,"5 of 5 stars to Stories I Only Tell My Friends by Rob Lowe http:// bit.ly/JJYoWr","207349837589516288",https://twitter.com/lennierosswrite/status/207349837589516288
PADAMELUVSANI,2012-05-29 00:29,0,"Starting to read " Stories I Only Tell My Friends " Excited, haven't read anything in a while.","207327754373443584",https://twitter.com/PADAMELUVSANI/status/207327754373443584
FirstClassSarah,2012-05-28 22:46,0,"Stories I Only Tell My Friends : An Autobiography... http:// tinyurl.com/7z3z6nb","207301856156848130",https://twitter.com/FirstClassSarah/status/207301856156848130
paulardoin,2012-05-28 18:14,0,"3 of 5 stars to Stories I Only Tell My Friends by Rob Lowe http:// bit.ly/LyZajN","207233531301199872",https://twitter.com/paulardoin/status/207233531301199872
tammyvent,2012-05-27 03:02,0,"Spent last 2 hours finishing @RobLowe 's book " Stories I Only Tell My Friends ". Fabulous. Didn't want it to end. Can't wait for the next one!","206641568294252544",https://twitter.com/tammyvent/status/206641568294252544
robynverrall,2012-05-27 02:04,0,"loved reading @RobLowe "the stories I only tell my friends ", funny, insightful & clever a must read for fans & nonfans alike..","206627004450209794",https://twitter.com/robynverrall/status/206627004450209794
JSDSBrazil,2012-05-26 17:15,0,"Just finished reading: Stories I only tell my friends by Rob Lowe - surprisingly funny and enjoyable.","206493879686545408",https://twitter.com/JSDSBrazil/status/206493879686545408
JenEasyTravel,2012-05-26 11:52,0,"Featured Product - : Stories I Only Tell My Friends : An Autobiography http:// bit.ly/KqUBJY","206412384510812163",https://twitter.com/JenEasyTravel/status/206412384510812163
acertainsmile,2012-05-26 09:49,0,"I cannot tear myself away from Rob Lowe's autobiography ' Stories I Only Tell My Friends '. This was unexpected.","206381610529071108",https://twitter.com/acertainsmile/status/206381610529071108
Books_web,2012-05-26 08:30,0,"【Entertainment】 Stories I Only Tell My Friends : An Autobiography by Rob Lowe http://www. amazon.com/gp/product/080 509329X?ie=UTF8&tag=bnd011-20&linkCode=shr&camp=213733&creative=393185&creativeASIN=080509329X&ref_=zg_bs_86_16 …","206361654659792898",https://twitter.com/Books_web/status/206361654659792898
markabeech,2012-05-26 07:03,0,"finished Stories I Only Tell My Friends by Rob Lowe & gave it 4 stars a surprismgly interesting guy. http:// amzn.to/kJ9SZ7 #Kindle","206339803762016256",https://twitter.com/markabeech/status/206339803762016256
shannoncoooper,2012-05-26 00:30,0,"My summer is just sad. The only stories I have to tell my friends are stories from work. Which aren't even exciting.","206240856926203905",https://twitter.com/shannoncoooper/status/206240856926203905
VEPeyton,2012-05-25 20:48,0,"finished Stories I Only Tell My Friends : An Autobiography by Rob Lowe http:// amzn.to/ikFsU8 #Kindle","206184994484404225",https://twitter.com/VEPeyton/status/206184994484404225
WillyArsenius,2012-05-25 08:43,0,"Stories I Only Tell My Friends : An Autobiography http:// su.pr/3tszSP #movies #books #teamfollowback","206002630516932608",https://twitter.com/WillyArsenius/status/206002630516932608
vyvovvy,2012-05-25 08:43,0,"Stories I Only Tell My Friends : An Autobiography http:// su.pr/3tszSP #movies #books #teamfollowback","206002630483386368",https://twitter.com/vyvovvy/status/206002630483386368
readgreatbook,2012-05-25 08:26,0,"http:// readgreatbooks.net JojoWoodsYoung:Finally read Rob Lowe's book " Stories I only tell my friends " Great R...","205998361256525824",https://twitter.com/readgreatbook/status/205998361256525824
JojoWoodsYoung,2012-05-25 08:22,0,"Finally read Rob Lowe's book " Stories I only tell my friends " Great Read! I highly recommend!!!","205997371430141952",https://twitter.com/JojoWoodsYoung/status/205997371430141952
shorton1,2012-05-24 18:08,0,"Finished with Stories I Only Tell My Friends , by Rob Lowe http:// bit.ly/JAzM2q","205782382240989185",https://twitter.com/shorton1/status/205782382240989185
