username, date, retweets, text, id, permalink
MariaWNorris,8/27/13 18:49,0,"@NiaVardalos is marrying a gorgeous greek girl. In Greece. Next summer, so we can't stop quoting My Big Fat Greek Wedding! #opa ! #instantmom",3.72491E+17,https://twitter.com/MariaWNorris/status/372491039514587136
NiaVardalos,8/27/13 18:47,3,"Thank you, you just got a kid adopted. RT @xo_nells : Bought #instantmom pic.twitter.com/HXZ2pixoxY",3.7249E+17,https://twitter.com/NiaVardalos/status/372490479826239488
NiaVardalos,8/27/13 18:38,0,I want to!! #InstantMom tea party please! RT @MrsNinaNorris: will you come to London on a book tour soon?? I LOVE your book!!!!,3.72488E+17,https://twitter.com/NiaVardalos/status/372488230605570049
NiaVardalos,8/27/13 18:35,1,"Did 30 cities, will do more if you buy #InstantMom HINT HINT!! RT @xo_nells : book tour?",3.72488E+17,https://twitter.com/NiaVardalos/status/372487573806911489
ronnaye98,8/27/13 10:32,0,I don't play when it comes to my followers #TeamFolllowBack #90sBabyFollowTrain #InstantMom,3.72366E+17,https://twitter.com/ronnaye98/status/372366018548465665
GoCelebsDaily,8/26/13 19:28,0,#celebrity #trending The Instant Mom Cast Reveal Their Craziest Parenting Moments http:// bit.ly/14WXdHP http:// bit.ly/18D8F2C,3.72139E+17,https://twitter.com/GoCelebsDaily/status/372138576281993217
WatchingaBuzz,8/26/13 19:28,0,#celebrity #trending The Instant Mom Cast Reveal Their Craziest Parenting Moments http:// bit.ly/14WXdHP http:// bit.ly/18D8F2C,3.72139E+17,https://twitter.com/WatchingaBuzz/status/372138567192961024
DariiIsMyName,8/26/13 19:28,0,@TiaMowry ready to see instant mom .,3.72138E+17,https://twitter.com/DariiIsMyName/status/372138389258002433
spazzrazz,8/26/13 18:43,0,The Instant Mom Cast Reveal Their Craziest Parenting Moments http:// bit.ly/17fHWWr,3.72127E+17,https://twitter.com/spazzrazz/status/372127257852411904
CelebTechNews,8/26/13 18:41,0,The Instant Mom Cast Reveal Their Craziest Parenting Moments http:// adf.ly/UeZw2,3.72127E+17,https://twitter.com/CelebTechNews/status/372126695806885889
MsKellyBryant,8/26/13 18:22,0,I cringed for @tiamowry 's worst parenting moment in an interview with the @NickMom #InstantMom cast for @OKMagzine : http:// bit.ly/1caKRBc,3.72122E+17,https://twitter.com/MsKellyBryant/status/372121850081320960
OKMagazine,8/26/13 18:20,22,@NickMom 's #InstantMom cast featuring @TiaMowry reveal their craziest parenting moments: http:// bit.ly/1caKRBc,3.72121E+17,https://twitter.com/OKMagazine/status/372121350501961728
