username, date, retweets, text, id, permalink
Anna_Ragz,7/14/15 19:57,0,"@osheyack I got up, it got weird, he was massaging her neck &I wanted to be like you dont need to be here, you've figured modern romance out",6.21106E+17,https://twitter.com/Anna_Ragz/status/621106235174055936
masondeaver,7/14/15 19:55,0,4 of 5 stars to Modern Romance by Aziz Ansari https://www. goodreads.com/review/show/13 22958672 â€_,6.21106E+17,https://twitter.com/masondeaver/status/621105828708397057
GillTheThrilll,7/14/15 19:53,0,Yeah Boiiii!!!! @azizansari Modern Romance : Book Tour with @always35 #ModernRomance pic.twitter.com/AjM014If0x,6.21105E+17,https://twitter.com/GillTheThrilll/status/621105322787115008
Anna_Ragz,7/14/15 19:44,0,Can this couple maybe not make out within inches of me? Like why even come the modern romance book tour if you're THIS set,6.21103E+17,https://twitter.com/Anna_Ragz/status/621102906289225728
masondeaver,7/14/15 19:21,0,"On page 209 of 277 of Modern Romance , by Aziz Ansari http:// goodreads.com/user_status/sh ow/71101611 â€_",6.21097E+17,https://twitter.com/masondeaver/status/621097265382428672
rachel_nespo,7/14/15 19:21,0,I LEFT MY AZIZ BOOK ON THE PLANE AND I'M GOING TO CRY #ModernRomance,6.21097E+17,https://twitter.com/rachel_nespo/status/621097241344876544
howaboutknope,7/14/15 19:18,0,"Me reading @azizansari 's book  Modern Romance "" â€” I loved it! pic.twitter.com/FhIIpCVy6g""",6.21096E+17,https://twitter.com/howaboutknope/status/621096390656036864
wait_whaet,7/14/15 19:09,0,"Reading #ModernRomance at the gym and am prob gonna finish it before I leave..in the words of Tom Haverford this book is dope!"" @azizansari""",6.21094E+17,https://twitter.com/wait_whaet/status/621094246322434048
BooksOnline4,7/14/15 19:08,0,"http:// amzn.to/1Ld8D3m Modern Romance : An Investigation Modern Romance : An Investigationby Aziz Ansari (Author, â€_ pic.twitter.com/ZQx26s50nS",6.21094E+17,https://twitter.com/BooksOnline4/status/621094012372520965
french84,7/14/15 19:05,0,Started @azizansari book ' Modern Romance '. I'm a little excited. Easily one of my favourite current stand ups! (Go check Netflix chumps!),6.21093E+17,https://twitter.com/french84/status/621093150434684928
elleelle_koolj,7/14/15 19:01,0,En route to hear Aziz Ansari talk about Modern Romance . Outside I'm like but inside I'm like pic.twitter.com/5wKW8fsiNO,6.21092E+17,https://twitter.com/elleelle_koolj/status/621092211698958336
sallysimpleton,7/14/15 18:56,0,"Started @azizansari 's Modern Romance on audio today. So far, so great, & combines my loves of data, studying human behavior, + it's funny!",6.21091E+17,https://twitter.com/sallysimpleton/status/621090878594093056
masondeaver,7/14/15 18:46,0,"On page 150 of 277 of Modern Romance , by Aziz Ansari http:// goodreads.com/user_status/sh ow/71099167 â€_",6.21088E+17,https://twitter.com/masondeaver/status/621088359197343748
sociology_agent,7/14/15 18:44,0,Recent Read: Modern Romance http:// dragplus.com/post/id/311233 61 â€_,6.21088E+17,https://twitter.com/sociology_agent/status/621087807977730048
MelissaLamkin,7/14/15 18:36,0,Dear single people everywhere: listen to or read @azizansari 's Modern Romance book. ASAP. pic.twitter.com/3ErmG8Vza1,6.21086E+17,https://twitter.com/MelissaLamkin/status/621085853130096641
DEBIJOT,7/14/15 18:33,0,"Meet a fiery goddess, the god of Thunder, a modern day Hades, and many more #sexy deities - #paranormal #romance http:// amzn.to/1GcOrvh",6.21085E+17,https://twitter.com/DEBIJOT/status/621085176928542720
jusblaze732,7/14/15 18:32,0,Modern romance,6.21085E+17,https://twitter.com/jusblaze732/status/621084859361067008
goforbrandie,7/14/15 18:28,0,So excited to see @azizansari on his #modernromance book tour tonight! Maybe he can use me as hisâ€_ https:// instagram.com/p/5IiGBlQkpx/,6.21084E+17,https://twitter.com/goforbrandie/status/621083838303870977
zainkho,7/14/15 18:27,0,@elaineeton comedian books like Bossypants or Modern Romance,6.21084E+17,https://twitter.com/zainkho/status/621083529162567680
whanderings,7/14/15 18:25,0,modern day romance ! pic.twitter.com/A8WTyFDccf,6.21083E+17,https://twitter.com/whanderings/status/621083083211583488
cjl_music92,7/14/15 18:25,0,"This passage from  Modern Romance "" by @azizansari had me crackin up. His book is so great. Here heâ€_ https:// instagram.com/p/5IhtlDLYCp/""",6.21083E+17,https://twitter.com/cjl_music92/status/621082999476645888
DaraghQuinn,7/14/15 18:25,1,Modern romance https:// twitter.com/SpencerChrist/ status/621073528033574912 â€_,6.21083E+17,https://twitter.com/DaraghQuinn/status/621082997824036864
nochirab,7/14/15 18:14,0,Modern Romance - Can You Move 1350 ã‚_ãƒ_ãƒ‡ã‚£ã‚·ãƒ§ãƒ_ã‚¸ãƒ£ã‚±ãƒƒãƒˆ/EXç›_è_ª/EX+ãÅ“ã‚“ãÅ«ãÅ¡ãÅ¯ï_ÅãÅ“ã‚ŒãÅ‹ã‚‰ãÅ“ãÅ¡ã‚‰ãÅ«ãÅ_è‡ªåˆ†ãÅ®ãƒ¬ã‚_ãƒ_ãƒ‰ã‚’é_èâ€_91 å…¥æœ_ï__1ä»¶ http:// actnj.net/d/d?id=e159548 052 â€_,6.2108E+17,https://twitter.com/nochirab/status/621080436735766529
Buzzanza_Knows,7/14/15 18:05,0,17 Hilarious @azizansari Quotes About Modern Romance That Will Actually Make You Think http:// ow.ly/Pyha3 #thoughtcatalog,6.21078E+17,https://twitter.com/Buzzanza_Knows/status/621078200655986689
theShawnaBlake,7/14/15 17:59,0,In Austin at the same time as @azizansari and I can feel the city becoming more adorable and amazing with his presence. #ModernRomance,6.21077E+17,https://twitter.com/theShawnaBlake/status/621076508300316672
BooksOnline4,7/14/15 17:49,0,"http:// amzn.to/1Ld8D3m Modern Romance : An Investigation Modern Romance : An Investigationby Aziz Ansari (Author, â€_ pic.twitter.com/aMjnwcWXtj",6.21074E+17,https://twitter.com/BooksOnline4/status/621074184735731712
CelinaGildea,7/14/15 17:12,0,Hahah yes... This Account Of A Modern Day Romance Will Change The Way You Look At Love http:// totalsororitymove.com/this-account-o f-a-modern-day-romance-will-change-the-way-you-look-at-love/ â€_,6.21065E+17,https://twitter.com/CelinaGildea/status/621064726328541184
RmTwts,7/14/15 17:04,1,"Modern Twist. The Proud and the Prejudiced"" by @Colette_Saucier #romance http:// bit.ly/1HYM95N""",6.21063E+17,https://twitter.com/RmTwts/status/621062673871077376
totalsratmove,7/14/15 16:58,58,This Account Of A Modern Day Romance Will Change The Way You Look At Love: http:// ow.ly/PC4lz by @yeah_okay_what pic.twitter.com/s35fPCxw1J,6.21061E+17,https://twitter.com/totalsratmove/status/621061249439240193
chelstahl3,7/14/15 16:55,0,Everybody needs to read @azizansari 's book Modern Romance,6.2106E+17,https://twitter.com/chelstahl3/status/621060488470888448
masondeaver,7/14/15 16:55,0,"On page 91 of 277 of Modern Romance , by Aziz Ansari http:// goodreads.com/user_status/sh ow/71090449 â€_",6.2106E+17,https://twitter.com/masondeaver/status/621060362226532352
hatchepsout44,7/14/15 16:54,0,Check out The @Smutsonian Top 5 BFFs (Female MCs in Modern Romance ) & enter to #win one of the winning books! https://www. rafflecopter.com/rafl/display/4 e0c2ff877/ â€_,6.2106E+17,https://twitter.com/hatchepsout44/status/621060307495034880
BooksOnline4,7/14/15 16:46,0,"http:// amzn.to/1Ld8D3m Modern Romance : An Investigation Modern Romance : An Investigationby Aziz Ansari (Author, â€_ pic.twitter.com/TbhvaugOf1",6.21058E+17,https://twitter.com/BooksOnline4/status/621058332867043329
Sjkozak,7/14/15 16:43,0,Popular in the office now due to my latest book choice!! - @azizansari Stopping people left and right #ModernRomance pic.twitter.com/u8n5xhS2hC,6.21058E+17,https://twitter.com/Sjkozak/status/621057513451036672
CaitlinVanasse,7/14/15 16:41,0,"Hey, what do you know, Google-ing Aziz Ansari Christmas Text"" worked! #amlistening #modernromance #audiobook https:// twitter.com/azizansari/sta tus/611322290337353728 â€_""",6.21057E+17,https://twitter.com/CaitlinVanasse/status/621056955897876480
puttopal,7/14/15 16:39,0,4 of 5 stars to Modern Romance by Aziz Ansari https://www. goodreads.com/review/show/13 34943703 â€_,6.21056E+17,https://twitter.com/puttopal/status/621056433317146628
shannonplush,7/14/15 16:32,0,"I don't know why, but I love the idea of this. Totally reading after @azizansari 's #ModernRomance http://www. amazon.com/gp/aw/d/B00IQY 2PVO/ref=mp_s_a_1_3?qid=1436905763&sr=1-3&pi=AC_SX110_SY165_QL70&keywords=Matthew+Algeo â€_",6.21055E+17,https://twitter.com/shannonplush/status/621054766383276032
happylarka,7/14/15 16:28,0,Modern Romance #Moda #Fashion #ILoveit #News #Culture #Lifestyle #PHOTOS #AzizAnsari #Livr â€_ â€_ pic.twitter.com/vhMj3Uko6X,6.21054E+17,https://twitter.com/happylarka/status/621053594004004864
AndreaEgea_,7/14/15 16:27,0,Modern Romance #Moda #Fashion #ILoveit #News #Culture #Lifestyle #PHOTOS #AzizAnsari #Livr â€_ https:// estility.com/!AndreaEgea/po st/2484695 â€_ pic.twitter.com/4k7mPaOItu,6.21053E+17,https://twitter.com/AndreaEgea_/status/621053413015597056
apogee711,7/14/15 16:25,0,"The Autumn #Writings of #Apogee711 : Five Modern Writers: #Romance , #Feminism and #Sexuali ... http:// apogee711.blogspot.com/2015/07/five-m odern-writers-romance-feminism.html?spref=tw â€_",6.21053E+17,https://twitter.com/apogee711/status/621052871166005249
rachc4,7/14/15 16:20,0,Just finished reading #ModernRomance and it was fantastic! Thanks @azizansari for a great read! Hilarious and insightful!,6.21052E+17,https://twitter.com/rachc4/status/621051773424267264
TamraPhe,7/14/15 16:20,1,"Meet a fiery goddess, the god of Thunder, a modern day Hades, and many more #sexy deities - #paranormal #romance http:// amzn.to/1GcOrvh",6.21052E+17,https://twitter.com/TamraPhe/status/621051675416133632
