username, date, retweets, text, id, permalink
greggbello,2012-04-28 12:41,0,"@BreanneRacano non fiction Steve Jobs Bio, & Stories I Only Tell My Friends , Rob Lowe story","196278074814373888",https://twitter.com/greggbello/status/196278074814373888
Books_web,2012-04-28 00:05,0,"【Entertainment】 Stories I Only Tell My Friends : An Autobiography by Rob Lowe http://www. amazon.com/gp/product/080 509329X?ie=UTF8&tag=bnd011-20&linkCode=shr&camp=213733&creative=393185&creativeASIN=080509329X&ref_=zg_bs_86_16 …","196087660601815042",https://twitter.com/Books_web/status/196087660601815042
DanteRomeroHot,2012-04-27 12:40,0,"Stories I Only Tell My Friends : An Autobiography | Humor ... http:// bit.ly/Iw4BOB","195915233984921601",https://twitter.com/DanteRomeroHot/status/195915233984921601
infolibrarian,2012-04-27 10:31,0,"I rated Stories I Only Tell My Friends 3 stars and wrote a review. http://www. shelfari.com/books/17682044 ?syntc=twb&uid=infolibrarian … .","195882763776294912",https://twitter.com/infolibrarian/status/195882763776294912
DanteRomeroHot,2012-04-27 05:32,0,"Stories I Only Tell My Friends : An Autobiography | Humor ... http:// bit.ly/Iw4BOB","195807561642033155",https://twitter.com/DanteRomeroHot/status/195807561642033155
RuralRunnerGirl,2012-04-26 22:54,0,"Headed to bed with " Stories I only tell my friends " I have a bit of a celeb bio guilty pleasure but this is truly a GREAT read!","195707355600650243",https://twitter.com/RuralRunnerGirl/status/195707355600650243
theTVsisters,2012-04-26 13:00,1,"Don't miss @RobLowe this week on WDYTYA? this Friday night at 8pm on NBC! http:// bit.ly/JGfFiB Time for more STORIES I ONLY TELL MY FRIENDS","195558056803831809",https://twitter.com/theTVsisters/status/195558056803831809
adridegiraut,2012-04-26 12:14,0,"Reading @RobLowe 's ' Stories I Only Tell My Friends ' loving it so far! It is so well written. What a life! Can't put it down :)","195546392993865729",https://twitter.com/adridegiraut/status/195546392993865729
stinkjel,2012-04-25 07:40,0,"@RobLowe currently reading ' stories i only tell my friends ' loving it!! #greetingsfromaus","195115062137069568",https://twitter.com/stinkjel/status/195115062137069568
2boys2many,2012-04-25 07:22,0,"4 of 5 stars to Stories I Only Tell My Friends by Rob Lowe http:// bit.ly/I92LpO","195110411115298816",https://twitter.com/2boys2many/status/195110411115298816
Kaetrin67,2012-04-25 06:38,0,"4 of 5 stars to Stories I Only Tell My Friends by Rob Lowe http:// bit.ly/I8QR1N","195099378766196737",https://twitter.com/Kaetrin67/status/195099378766196737
2boys2many,2012-04-24 21:53,0,"Book Review: Stories I Only Tell My Friends by Rob Lowe http:// wp.me/p2nJP1-m","194967387504779265",https://twitter.com/2boys2many/status/194967387504779265
JoeDucer,2012-04-24 19:31,0,"@mf471 " stories I only tell my friends " maybe she shouldn't publish it","194931588675547137",https://twitter.com/JoeDucer/status/194931588675547137
Books_web,2012-04-24 08:34,0,"【Biographies】 Stories I Only Tell My Friends : An Autobiography by Rob Lowe http://www. amazon.com/gp/product/B00 4OA62VS?ie=UTF8&tag=bnd011-20&linkCode=shr&camp=213733&creative=393177&creativeASIN=B004OA62VS&ref_=zg_bs_2_14 …","194766329348231168",https://twitter.com/Books_web/status/194766329348231168
DanteRomeroHot,2012-04-24 04:58,0,"Stories I Only Tell My Friends by Rob Lowe | At Home With Books","194711853534949376",https://twitter.com/DanteRomeroHot/status/194711853534949376
DILDiaries,2012-04-23 23:33,0,"Still not ready for heavy reading after the 50 Shades trilogy, so starting Stories I Only Tell My Friends by @RobLowe Heard it is a fun read","194630221809451009",https://twitter.com/DILDiaries/status/194630221809451009
Ann_McL,2012-04-23 22:39,0,"4 of 5 stars to Stories I Only Tell My Friends by Rob Lowe http:// bit.ly/IN5rYM","194616429964820480",https://twitter.com/Ann_McL/status/194616429964820480
hhuckestein,2012-04-23 18:42,0,"@RobLowe Finally got a chance to read " Stories I Only Tell My Friends ". It was fantastic! I loved it. Can't wait for your next work :)","194556936090435585",https://twitter.com/hhuckestein/status/194556936090435585
Books_web,2012-04-23 08:52,0,"【Entertainment】 Stories I Only Tell My Friends : An Autobiography by Rob Lowe http://www. amazon.com/gp/product/B00 4OA62VS?ie=UTF8&tag=bnd011-20&linkCode=shr&camp=213733&creative=393177&creativeASIN=B004OA62VS&ref_=zg_bs_86_7 …","194408368671166464",https://twitter.com/Books_web/status/194408368671166464
misskimbertree,2012-04-23 08:03,0,"finished Stories I Only Tell My Friends by Rob Lowe http:// amzn.to/j0knsI #Kindle","194395948380733440",https://twitter.com/misskimbertree/status/194395948380733440
AtHomeWithBooks,2012-04-23 03:05,0,"Stories I Only Tell My Friends by Rob Lowe: by Rob Lowe What I didn’t like: Rob Lowe’s abundance of stories abou... http:// bit.ly/Ipvc1W","194320988001931264",https://twitter.com/AtHomeWithBooks/status/194320988001931264
mcm0720,2012-04-22 21:01,0,"Finished with Stories I Only Tell My Friends , by Rob Lowe http:// bit.ly/IK9k0M","194229376877998081",https://twitter.com/mcm0720/status/194229376877998081
lemon_squeezy,2012-04-22 15:47,0,"P.S. I would recommend Stories I Only Tell My Friends , it really surprised me!","194150346375962624",https://twitter.com/lemon_squeezy/status/194150346375962624
lemon_squeezy,2012-04-22 15:45,0,"For anyone that enjoyed Stories I Only Tell My Friends , great Mariella Frostrup interview with Rob Lowe @Hay on Catch Up","194149922562510848",https://twitter.com/lemon_squeezy/status/194149922562510848
payo0825,2012-04-22 14:09,0,"@RobLowe finally reading & enjoying " stories I only tell my friends ", found a typo on page 179.","194125762960424961",https://twitter.com/payo0825/status/194125762960424961
