username, date, retweets, text, id, permalink
RBMORD,2016-07-19 16:13,0,"" The Girl With The Lower Back Tattoo " ------------------------Love------------------------------> @AmySchumer ! ( @Shana_Champion )","755495699102494720",https://twitter.com/RBMORD/status/755495699102494720
ShopSOSdotcom,2016-07-19 16:03,1,"Pre-order “ The Girl with the Lower Back Tattoo ” - #iBooks http:// apple.co/29Lv3Ka #AmySchumer #reading #ShopSOS https:// itun.es/us/Jvp-ab.l","755493312849547265",https://twitter.com/ShopSOSdotcom/status/755493312849547265
Buywithmichelle,2016-07-19 12:50,0,"undefined: The Girl With The Lower Back Tattoo by Amy Schumer http:// thezoereport.com/entertainment/ culture/5-hilarious-beach-reads-will-totally-relate/#slide-5 … #SummerReads #YesAmySchumer","755444619844853765",https://twitter.com/Buywithmichelle/status/755444619844853765
z6medina,2016-07-19 09:05,0,"Big girl in front of me on the escalator with a lower back tattoo that says "Hot n' Spicy", you get a shout out today. Props.","755388016441589763",https://twitter.com/z6medina/status/755388016441589763
haleyk_allday,2016-07-18 15:10,0,"The Girl with the Lower Back Tattoo","755117465328234497",https://twitter.com/haleyk_allday/status/755117465328234497
theemilylewis,2016-07-18 13:11,0,"When you beg @amyschumer to come to the bay area and the comedy gods answer your prayer girl with the lower back tattoo here we come!!","755087687573344256",https://twitter.com/theemilylewis/status/755087687573344256
dandiophile,2016-07-18 10:39,0,"The Girl With The Lower Back Tattoo by @amyschumer is probably the most aptly titled book since Crime And Punishment.","755049374040727553",https://twitter.com/dandiophile/status/755049374040727553
klcrane1,2016-07-17 21:37,0,"Just pre-ordered Girl With the Lower Back Tattoo by @amyschumer Is it August 16th yet?","754852579285213185",https://twitter.com/klcrane1/status/754852579285213185
_Books__,2016-07-17 20:48,0,"The Girl with the Lower Back Tattoo Amy Schumer (Author) 139% Sales Rank in Books: 174 (was… http:// goo.gl/fb/cOVX1b","754840117156704256",https://twitter.com/_Books__/status/754840117156704256
FreeEbooksaz,2016-07-17 19:14,0,"#9: The Girl with the Lower Back Tattoo http:// xcalifor.com / #ebook #freeebooks","754816518366584832",https://twitter.com/FreeEbooksaz/status/754816518366584832
migueltrueba,2016-07-17 14:02,0,"Amiwos, no olviden agregar a sus must-read lists veraniegos " The girl with the lower back tattoo " de Amy Schumer y "It gets worse" de SD .","754738164900646914",https://twitter.com/migueltrueba/status/754738164900646914
bookusbot,2016-07-17 04:37,0,"The Girl with the Lower Back Tattoo ~ by Amy Schumer http:// goo.gl/IcmtNS Biographies & Memoirs","754595972466913281",https://twitter.com/bookusbot/status/754595972466913281
sale_ebook,2016-07-17 00:13,0,"The Girl with the Lower Back Tattoo (English Edition): Amy Schumer: ￥2,000 (34%OFF) Biographies & Memoirs 新着2位 http:// amzn.to/29Gvc0t","754529332555452416",https://twitter.com/sale_ebook/status/754529332555452416
mizwriterlady,2016-07-17 00:09,0,"Marked as to-read: The Girl with the Lower Back Tattoo by Amy Schumer https:// goodreads.com/review/show/17 00548299 …","754528506860675072",https://twitter.com/mizwriterlady/status/754528506860675072
RickyAppleseed,2016-07-16 16:56,0,"A @amyschumer book, " The Girl with the Lower Back Tattoo ", comes out in August! https:// shar.es/1lFuY6 via @SimonSchuster","754419336236900352",https://twitter.com/RickyAppleseed/status/754419336236900352
KreeseHolk,2016-07-16 16:01,0,"I guess my Joke about the " Girl with a Lower Back Tattoo " was better then I thought :P","754405710092312576",https://twitter.com/KreeseHolk/status/754405710092312576
goodsfanbotus,2016-07-16 15:05,0,"The Girl with the Lower Back Tattoo ~ by Amy Schumer http:// goo.gl/FvRn0b Books, Humor & Entertainment","754391423412080640",https://twitter.com/goodsfanbotus/status/754391423412080640
bookusbot,2016-07-16 01:08,0,"The Girl with the Lower Back Tattoo ~ by Amy Schumer http:// goo.gl/sj2ITI Humor & Entertainment","754180763369611264",https://twitter.com/bookusbot/status/754180763369611264
tpl_bot,2016-07-15 14:13,0,"the girl with the lower back tattoo","754016142562172928",https://twitter.com/tpl_bot/status/754016142562172928
eQuiviaBooks,2016-07-15 01:16,0,"New Release: The Girl with the Lower Back Tattoo : http:// bit.ly/29SXTez #equiviabooks","753820592109780992",https://twitter.com/eQuiviaBooks/status/753820592109780992
grantteaff,2016-07-15 00:29,0,"#3: The Girl with the Lower Back Tattoo : The Girl with the Lower Back Tattoo Amy Schumer (Author) 380% Sales ... http:// amzn.to/29NeD6g","753808628595892224",https://twitter.com/grantteaff/status/753808628595892224
SantiagoEdison,2016-07-14 23:42,0,"The Girl with the Lower Back Tattoo by Amy Schumer https:// itun.es/us/Jvp-ab.l","753796955860414464",https://twitter.com/SantiagoEdison/status/753796955860414464
grantteaff,2016-07-14 23:12,0,"#5: The Girl with the Lower Back Tattoo : The Girl with the Lower Back Tattoo Amy Schumer (Author) 395% Sales ... http:// amzn.to/29SKGT3","753789267843743744",https://twitter.com/grantteaff/status/753789267843743744
ReadAboutThis,2016-07-14 22:00,0,"#AudioBooks #Humor The Girl with the Lower Back Tattoo http://www. polarbearsareblack.com/?asin=B01CPR9D IU … pic.twitter.com/XRDBmhsSTL","753771152976248832",https://twitter.com/ReadAboutThis/status/753771152976248832
charlescml,2016-07-14 20:00,0,"#5: The Girl with the Lower Back Tattoo : The Girl with the Lower Back Tattoo Amy Schumer (Author) 468% Sales ... http:// amzn.to/29UeVun","753741004516188160",https://twitter.com/charlescml/status/753741004516188160
AliceBrine,2016-07-14 18:19,0,"YEZ. Also just got my pre-order for The Girl With The Lower Back Tattoo from @MightyApe . It's been a Schumer week.","753715500006318082",https://twitter.com/AliceBrine/status/753715500006318082
_Books__,2016-07-14 17:12,0,"The Girl with the Lower Back Tattoo Amy Schumer (Author) 411% Sales Rank in Books: 227 (was… http:// goo.gl/fb/pXF7UT","753698823969599489",https://twitter.com/_Books__/status/753698823969599489
SoonToBeScript,2016-07-14 17:04,0,"Hahahaha... @amyschumer 's new book is titled " The Girl With The Lower Back Tattoo ." #comedy #books #AmySchumer pic.twitter.com/ZFTOa4NTAM","753696613818732544",https://twitter.com/SoonToBeScript/status/753696613818732544
_Books__,2016-07-14 16:05,0,"The Girl with the Lower Back Tattoo Amy Schumer (Author) 290% Sales Rank in Books: 285 (was… http:// goo.gl/fb/wwvJxz","753681896773677056",https://twitter.com/_Books__/status/753681896773677056
Pre_Order_Books,2016-07-14 15:30,0,"#AMAZON MOVER & SHAKER #7: The Girl with the Lower Back Tattoo .. http:// amzn.to/29KXLOw #BOOKS #READ","753672976923373573",https://twitter.com/Pre_Order_Books/status/753672976923373573
heathiemeesh,2016-07-14 15:06,0,"Jazzed about this one as well: The Girl with the Lower Back Tattoo (Signed Book) by Amy Schumer http:// fw.to/yf5nWrD","753666998916100096",https://twitter.com/heathiemeesh/status/753666998916100096
tpl_bot,2016-07-14 15:03,0,"the girl with the lower back tattoo","753666364200681472",https://twitter.com/tpl_bot/status/753666364200681472
_Books__,2016-07-14 14:54,0,"The Girl with the Lower Back Tattoo Amy Schumer (Author) 198% Sales Rank in Books: 369 (was… http:// goo.gl/fb/qQU6ON","753663884007993346",https://twitter.com/_Books__/status/753663884007993346
FreeEbooksaz,2016-07-14 14:18,0,"#10: The Girl with the Lower Back Tattoo http:// xcalifor.com / #ebook #freeebooks","753655009737334785",https://twitter.com/FreeEbooksaz/status/753655009737334785
GlobalAmazon,2016-07-14 14:18,0,"#10: The Girl with the Lower Back Tattoo http:// dlvr.it/Lp6ChB","753654824135045120",https://twitter.com/GlobalAmazon/status/753654824135045120
to_loka,2016-07-14 11:54,0,"The girl with the lower back tattoo hahhahahahahhah melhor título. Só amy schumer mesmo","753618707931422720",https://twitter.com/to_loka/status/753618707931422720
JoannaaSays,2016-07-13 17:27,0,"Just preordered @amyschumer 's book.. The Girl With The Lower Back Tattoo . Lol. Anyway, I have to learn to read again.","753340143155683328",https://twitter.com/JoannaaSays/status/753340143155683328
