,Weekly Sales,Weekly Sentiment,Weekly Tweets
Week End( 2/27/11 ),1,0.238341667,36
Week End( 3/6/11 ),0,0.236387654,81
Week End( 3/13/11 ),1,0.193938614,101
Week End( 3/20/11 ),2,0.249695,160
Week End( 3/27/11 ),2,0.246551852,108
Week End( 4/3/11 ),77,0.169427796,313
Week End( 4/10/11 ),37902,0.197404409,4037
Week End( 4/17/11 ),39845,0.240990272,3680
Week End( 4/24/11 ),47181,0.258585539,3174
Week End( 5/1/11 ),31223,0.230025946,2590
Week End( 5/8/11 ),42987,0.253583745,2104
Week End( 5/15/11 ),28240,0.241715741,2179
Week End( 5/22/11 ),22689,0.271242842,1928
Week End( 5/29/11 ),20051,0.2462526,1500
Week End( 6/5/11 ),17793,0.258815117,1495
Week End( 6/12/11 ),18489,0.256695563,1420
Week End( 6/19/11 ),17406,0.265449814,1078
Week End( 6/26/11 ),13614,0.257089602,1106
Week End( 7/3/11 ),12615,0.308941922,1207
Week End( 7/10/11 ),10536,0.270739583,960
Week End( 7/17/11 ),11785,0.277365057,870
Week End( 7/24/11 ),11766,0.272726055,829
Week End( 7/31/11 ),9840,0.291960571,875
