,Weekly Sales,Weekly Sentiment,Weekly Tweets
Week End( 2/24/13 ),0,0.328773529,34
Week End( 3/3/2013 ),0,0.453734483,29
Week End( 3/10/13 ),0,0.265075,20
Week End( 3/17/13 ),1,0.399282258,124
Week End( 3/24/2013 ),0,0.531314474,76
Week End( 3/31/2013 ),0,0.415041758,91
Week End( 4/7/2013 ),1137,0.445136858,662
Week End( 4/14/13 ),903,0.402526764,1304
Week End( 4/21/2013 ),407,0.316045794,321
Week End( 4/28/13 ),256,0.43810292,137
Week End( 5/5/13 ),236,0.388752419,124
Week End( 5/12/13 ),288,0.579294958,119
Week End( 5/19/13 ),129,0.305521429,28
Week End( 5/26/13 ),87,0.397960606,33
Week End( 6/2/13 ),67,0.426110204,49
Week End( 6/9/13 ),320,0.243177922,77
Week End( 6/16/13 ),104,0.301959722,144
Week End( 6/23/13 ),-36,0.498397826,46
Week End( 6/30/13 ),42,0.32503125,32
Week End( 7/7/13 ),52,0.31555,22
Week End( 7/14/13 ),53,0.430404819,83
Week End( 7/21/13 ),26,0.427567391,46
Week End( 7/28/13 ),24,0.333472222,144
