,Weekly Sales,Weekly Sentiment,Weekly Tweets
Week End( 5/10/15 ),0,0.535612749,251
Week End( 5/17/15 ),0,0.53422226,292
Week End( 5/24/15 ),0,0.551863095,336
Week End( 5/31/15 ),2,0.549587633,469
Week End( 6/7/15 ),11,0.535516745,639
Week End( 6/14/15 ),1054,0.507898597,713
Week End( 6/21/15 ),22706,0.550410781,2829
Week End( 6/28/15 ),12447,0.52985405,1321
Week End( 7/5/15 ),9415,0.540384123,844
Week End( 7/12/15 ),10225,0.524475876,1455
Week End( 7/19/15 ),9230,0.538181197,1069
Week End( 7/26/15 ),8335,0.571031164,799
Week End( 8/2/15 ),6555,0.568454178,766
Week End( 8/9/15 ),6157,0.55627831,710
Week End( 8/16/15 ),5768,0.535946112,926
Week End( 8/23/15 ),5145,0.540868186,1053
Week End( 8/30/15 ),4413,0.57273423,818
Week End( 9/6/15 ),4163,0.613568138,725
Week End( 9/13/15 ),3816,0.510822368,760
Week End( 9/20/15 ),3630,0.486512338,462
Week End( 9/27/15 ),3228,0.490421018,452
Week End( 10/4/15 ),2734,0.543309557,722
Week End( 10/11/15 ),2570,0.512245251,716
