Title,Author,Twitter_Handle,Pub_Date,ISBN13,GoodReads_Average_Rating
Confessions of a Prairie Bitch ,Alison Arngrim,@Arngrim,6/15/2010,9780061962158,3.99
Dad Is Fat ,Jim Gaffigan,@JimGaffigan,5/6/2013,9780762457854,3.76
Instant Mom ,Nia Vardalos,@NiaVardalos,4/2/2013,9780062231833,3.96
Modern Romance ,Aziz Ansari,@azizansari,6/16/2015,9781594206276,3.85
One More Thing ,B.J. Novak,@bjnovak,2/4/2014,9780385351836,3.66
I Can't Make This Up,Kevin Hart,@KevinHart4real,6/6/2017,9781501155567,4.11
Bossypants ,Tina Fey,@MsTinaFey,1/29/2013,9780316056861,3.94
Stories I Only Tell My Friends ,Rob Lowe,@RobLowe,1/3/2012,9781429996020,3.77
Born a Crime  ,TREVOR NOAH,@Trevornoah,11/15/2016,9780385689229,4.47
The Girl with the Lower Back Tattoo,AMY SCHUMER  ,@amyschumer,8/16/2016,9781501139888,3.76
