,Weekly Sales,Weekly Sentiment,Weekly Tweets
Week End( 6/26/16 ),0,,0
Week End( 7/3/2016 ),1,,0
Week End( 7/10/16 ),0,-0.219075,12
Week End( 7/17/16 ),2,-0.164237037037037,27
Week End( 7/24/16 ),5,-0.24168124999999993,16
Week End( 7/31/16 ),4,-0.2759991071428567,112
Week End( 8/7/16 ),307,-0.23457464788732366,71
Week End( 8/14/16 ),250,-0.25682040816326523,49
Week End( 8/21/16 ),39616,-0.2367590313390298,1755
Week End( 8/28/16 ),30286,-0.09397096774193545,31
Week End( 9/4/16 ),24308,-0.1269271428571426,280
Week End( 9/11/16 ),19855,-0.2701771626297587,289
Week End( 9/18/16 ),13721,-0.16494213836477975,159
Week End( 9/25/16 ),11820,-0.15656910569105667,123
Week End( 10/2/2016 ),10067,-0.16593357664233563,137
Week End( 10/9/16 ),7677,0.16821920529801287,302
Week End( 10/16/16 ),6234,-0.08229019607843144,102
Week End( 10/23/16 ),5032,-0.032718994413407795,179
Week End( 10/30/16 ),4055,-0.2625947916666664,96
Week End( 11/6/16 ),3537,-0.21788767123287664,73
Week End( 11/13/16 ),3641,-0.13425000000000006,56
Week End( 11/20/16 ),3683,-0.24708068181818169,88
Week End( 11/27/16 ),9626,-0.29903773584905646,53
Week End( 12/4/16 ),6921,-0.1889133333333334,45
Week End( 12/11/16 ),8410,-0.1224681818181818,66
Week End( 12/18/16 ),16899,-0.04852937062937064,143
