,Weekly Sales,Weekly Sentiment,Weekly Tweets
Week End( 2/20/11 ),0,0.09083142857142858,35
Week End( 2/27/11 ),1,0.23834166666666676,36
Week End( 3/6/11 ),0,0.2363876543209877,81
Week End( 3/13/11 ),1,0.19393861386138617,101
Week End( 3/20/11 ),2,0.24969500000000036,160
Week End( 3/27/11 ),2,0.2465518518518518,108
Week End( 4/3/11 ),77,0.16942779552715653,313
Week End( 4/10/11 ),37902,0.19740440921476254,4037
Week End( 4/17/11 ),39845,0.24099027173913015,3680
Week End( 4/24/11 ),47181,0.25858553875236295,3174
Week End( 5/1/11 ),31223,0.23002594594594591,2590
Week End( 5/8/11 ),42987,0.25358374524714833,2104
Week End( 5/15/11 ),28240,0.24171574116567193,2179
Week End( 5/22/11 ),22689,0.27124284232365126,1928
Week End( 5/29/11 ),20051,0.2462526000000002,1500
Week End( 6/5/11 ),17793,0.25881511705685595,1495
Week End( 6/12/11 ),18489,0.2566955633802822,1420
Week End( 6/19/11 ),17406,0.2654498144712433,1078
Week End( 6/26/11 ),13614,0.2570896021699823,1106
Week End( 7/3/11 ),12615,0.30894192212096094,1207
Week End( 7/10/11 ),10536,0.2707395833333337,960
Week End( 7/17/11 ),11785,0.2773650574712646,870
Week End( 7/24/11 ),11766,0.27272605548854045,829
Week End( 7/31/11 ),9840,0.29196057142857146,875
Week End( 8/7/11 ),8592,0.2508856187290968,598
Week End( 8/14/11 ),7812,0.24573606998654096,743
