,Weekly Sales,Weekly Sentiment,Weekly Tweets
Week End( 4/19/15 ),0,0.3565275862068965,174
Week End( 4/26/15 ),0,0.38560314960629916,127
Week End( 5/3/15 ),0,0.2757877777777778,90
Week End( 5/10/15 ),0,0.30966666666666676,75
Week End( 5/17/15 ),0,0.09648295454545451,88
Week End( 5/24/15 ),0,0.21125066666666673,75
Week End( 5/31/15 ),2,0.05305757575757577,99
Week End( 6/7/15 ),11,0.0643669724770642,109
Week End( 6/14/15 ),1054,0.10345571428571429,70
Week End( 6/21/15 ),22706,0.290315,40
Week End( 6/28/15 ),12447,0.21660624999999994,32
Week End( 7/5/15 ),9415,0.18858235294117648,17
Week End( 7/12/15 ),10225,0.32899038461538466,52
Week End( 7/19/15 ),9230,0.3068717948717949,39
Week End( 7/26/15 ),8335,0.3060169491525424,59
Week End( 8/2/15 ),6555,0.14745111111111112,45
Week End( 8/9/15 ),6157,0.2737978723404255,47
Week End( 8/16/15 ),5768,0.3016338709677419,62
Week End( 8/23/15 ),5145,0.29275999999999996,45
Week End( 8/30/15 ),4413,0.24925185185185186,54
Week End( 9/6/15 ),4163,0.2516,53
Week End( 9/13/15 ),3816,0.24224117647058824,34
Week End( 9/20/15 ),3630,0.2010602409638554,83
Week End( 9/27/15 ),3228,0.1810795918367347,49
Week End( 10/4/15 ),2734,0.15134264705882358,68
Week End( 10/11/15 ),2570,0.07064791666666666,48
