,Weekly Sales,Weekly Sentiment,Weekly Tweets
Week End( 4/19/15 ),0,,0
Week End( 4/26/15 ),0,,0
Week End( 5/3/15 ),0,,0
Week End( 5/10/15 ),0,0.5356127490039846,251
Week End( 5/17/15 ),0,0.5342222602739729,292
Week End( 5/24/15 ),0,0.5518630952380954,336
Week End( 5/31/15 ),2,0.5495876332622585,469
Week End( 6/7/15 ),11,0.5355167449139254,639
Week End( 6/14/15 ),1054,0.5078985974754541,713
Week End( 6/21/15 ),22706,0.5504107811947602,2829
Week End( 6/28/15 ),12447,0.5298540499621519,1321
Week End( 7/5/15 ),9415,0.5403841232227476,844
Week End( 7/12/15 ),10225,0.5244758762886619,1455
Week End( 7/19/15 ),9230,0.5381811973807301,1069
Week End( 7/26/15 ),8335,0.5710311639549414,799
Week End( 8/2/15 ),6555,0.5684541775456906,766
Week End( 8/9/15 ),6157,0.5562783098591527,710
Week End( 8/16/15 ),5768,0.5359461123110101,926
Week End( 8/23/15 ),5145,0.540868186134847,1053
Week End( 8/30/15 ),4413,0.572734229828846,818
Week End( 9/6/15 ),4163,0.6135681379310323,725
Week End( 9/13/15 ),3816,0.5108223684210503,760
Week End( 9/20/15 ),3630,0.486512337662338,462
Week End( 9/27/15 ),3228,0.4904210176991161,452
Week End( 10/4/15 ),2734,0.5433095567866985,722
Week End( 10/11/15 ),2570,0.5122452513966448,716
